N,Train_MSE,Train_r,Test_MSE,Test_r,Avg_Topological_Entropy,Random seed
2,0.0364139516671644,0.4892031425243262,0.0363434406200892,0.4848805026710421,0.0496126742879243,46
3,0.0338492161027884,0.5412054187742272,0.0342318784201187,0.5287532220319655,0.0531226333132458,46
4,0.0326575815676052,0.5637352831183818,0.0326310577864711,0.5596469122873993,0.0567758131978955,46
5,0.03228642259017,0.5705634119594338,0.0323763565541953,0.5645137592798484,0.0557512236402953,46
6,0.0314153316672614,0.586294658037223,0.0313735996581355,0.5828348861423126,0.0587728164345023,46
7,0.0289403698002687,0.6288415693095789,0.0288930917454236,0.6260107562027141,0.0628870021783227,46
8,0.0274595751514473,0.6529795674052573,0.0276681815403288,0.6463421616700862,0.0633637094478479,46
9,0.0234752170724105,0.7138677279267126,0.0231256795839708,0.716422065775755,0.0620703435683857,46
10,0.0272150981787613,0.6568725926042276,0.0274321059816468,0.6501925965932502,0.0646034112274682,46
20,0.0157978340199384,0.8185268281045135,0.0160676466411548,0.8135452874683616,0.0693794766088041,46
30,0.0123611044055027,0.8612657969542119,0.0123950475676528,0.8597316179655052,0.0738577429961489,46
40,0.0096203580128857,0.8938861797585882,0.0098895265570807,0.8898927276073475,0.074240334198013,46
50,0.0080197580818826,0.912397231155858,0.008351591507163,0.907909619517393,0.0752621674661361,46
60,0.0074863024598907,0.9184838049110754,0.0079992085746784,0.911998200608966,0.0768124514541839,46
70,0.0063488137259263,0.9313293954838308,0.0067103587253787,0.9267336780942794,0.076333482410803,46
80,0.0055641804506285,0.9400879125974756,0.0061004600107618,0.9336083368227546,0.0772772512000538,46
90,0.0049406176573097,0.946990709764248,0.0055543519093692,0.9397809964156258,0.0774132385481501,46
100,0.004661056278134,0.9500691441369354,0.0052991689464754,0.9426047053280276,0.0775642851631461,46
150,0.0031774191281632,0.9662423580498256,0.0039297103072525,0.95778377943994,0.0780136200679314,46
200,0.0025465229728118,0.9730383322495052,0.0033810898174223,0.9638010021776752,0.0781799165212993,46
250,0.0019376158950366,0.9795527320041928,0.0027025459414853,0.9712012881455668,0.0782057139540343,46
300,0.0016565094185111,0.982545580672121,0.002510298202274,0.9732764781880672,0.0782308597250958,46
2,0.035059889143661,0.5161461746134521,0.0348510542120964,0.520922849710006,0.0477829847623204,2
3,0.0360058512097958,0.4965985478477309,0.036119521170302,0.4947674523551688,0.0508363819723526,2
4,0.033122745116347,0.5540163324700679,0.0334348647017004,0.5485921074454372,0.0572746183078464,2
5,0.0317241378447777,0.5798342559790474,0.0317312527253066,0.5801816557148707,0.0569995193316531,2
6,0.0296523386943269,0.6160747329142445,0.0298098469608604,0.6137732973038956,0.0593745475295168,2
7,0.0302441804667162,0.6059424289577275,0.0311496150776641,0.5909333294563799,0.0608863505271841,2
8,0.023907698857501,0.7069301757210392,0.0248472428548391,0.6932206650363749,0.0637147227005711,2
9,0.0247347233437976,0.6945833612425313,0.0249938805778091,0.6909876160523373,0.064711197227561,2
10,0.0247816484898218,0.6938758604318291,0.0253738658246235,0.6852651925732628,0.0670685650327417,2
20,0.0161051177212756,0.8142560905055417,0.0165792648349452,0.8083294672811489,0.0695746969302111,2
30,0.0123200246892439,0.8615179467706435,0.0127820427624251,0.8560028001181919,0.0720707351173766,2
40,0.0103762207093224,0.8848083003874873,0.0111470624256911,0.8757905331685759,0.074435603573561,2
50,0.0088410656261671,0.9027777951084116,0.0093376998624298,0.8971234582812769,0.0759441009760004,2
60,0.0071910912346392,0.9217006133072276,0.0078074215280145,0.9147522430318024,0.076050952806139,2
70,0.0064770605654315,0.9297701769410188,0.0071777572166228,0.9219735587960508,0.076357568649352,2
80,0.0055618814627088,0.9400116824748768,0.0061763904943566,0.9332396876136966,0.0772155118233848,2
90,0.0051636753085965,0.9444332263708148,0.0058255262514599,0.9371755531458928,0.0776331311364864,2
100,0.0047281909678961,0.9492451172873024,0.0053273216912003,0.9427242604695218,0.0777182944533592,2
150,0.0032145109449217,0.9657840659391558,0.0039940091385269,0.9573895263352156,0.0780940540366457,2
200,0.0024192373050155,0.9743609924341008,0.0032320838206784,0.9656570169731312,0.0781852122767513,2
250,0.0019585222713765,0.979295383068584,0.0028153166255014,0.9701686813136396,0.0782217561394245,2
300,0.0015958880252644,0.9831618818560656,0.0024603736559054,0.973999205688173,0.0782345795248643,2
2,0.0359277835335648,0.5009010188031524,0.0350385267299514,0.5069191722546871,0.0497906383095691,10
