['TEAD3'],[[0]],[[3.08754832]],[[4.22624401]],[[4.3631038]],[[4.05130774]],[[3.32978308]],[[1.64380002]],[[0.94789226]],[[1.20900716]],[[0.86171224]],[[0.80759144]],[[1.03308926]],[[0.60217426]]
['HGF'],[[1.13667336]],[[3.13459482]],[[3.0861273]],[[3.12087568]],[[3.44985841]],[[2.32622258]],[[1.90973481]],[[1.69911192]],[[1.60141734]],[[1.07844832]],[[1.25610405]],[[0.98068106]],[[1.07606965]]
['IDI1'],[[1.08201845]],[[3.28430056]],[[3.08123836]],[[3.16273068]],[[2.99418727]],[[2.04530866]],[[1.41803105]],[[1.11537877]],[[1.07639631]],[[0.85509032]],[[1.06929257]],[[0.92550671]],[[0.9631009]]
['MKNK1'],[[1.0096711]],[[2.79801571]],[[2.97628256]],[[3.10547087]],[[3.08208634]],[[2.87720997]],[[2.31866011]],[[1.81909997]],[[1.16928457]],[[1.18637583]],[[1.01901192]],[[1.03705904]],[[1.12086788]]
['CEACAM1'],[[1.0653838]],[[4.05032098]],[[4.28334912]],[[4.42429871]],[[4.44848884]],[[2.61377043]],[[1.6678861]],[[1.47598335]],[[1.2707229]],[[1.59910301]],[[1.28877526]],[[1.15348925]],[[1.30617516]]
['OSM'],[[0.86087413]],[[4.25157445]],[[4.39359177]],[[3.98144398]],[[4.17977176]],[[3.09516411]],[[2.07059449]],[[1.3441142]],[[1.38677672]],[[1.34041315]],[[1.25220751]],[[1.40969089]],[[1.49211422]]
['RETN'],[[0.86768256]],[[2.20652672]],[[2.76813707]],[[2.9456713]],[[3.44776151]],[[3.87206619]],[[2.49007414]],[[2.11921954]],[[1.59975875]],[[2.23407555]],[[0.83586452]],[[1.81203156]],[[1.4653001]]
['TTC26'],[[1.31790867]],[[3.30643319]],[[3.33160242]],[[3.77661941]],[[3.53491176]],[[2.22782842]],[[1.80978113]],[[1.259169]],[[1.34692145]],[[0.81626022]],[[1.09890255]],[[1.10745364]],[[0.89327181]]
['GRB10'],[[1.06252535]],[[3.27480333]],[[3.17162295]],[[3.18040513]],[[3.43737999]],[[3.23011281]],[[2.95236559]],[[2.32065017]],[[2.29956206]],[[1.48106117]],[[1.62233942]],[[1.12791971]],[[1.1344772]]
['KLHL2'],[[1.01112814]],[[3.41357192]],[[3.38936882]],[[3.55410464]],[[3.58887418]],[[3.03218044]],[[2.6421886]],[[1.95513172]],[[1.59471126]],[[1.14238043]],[[1.30235451]],[[0.91226985]],[[1.0840443]]
['MS4A4A'],[[0.83773466]],[[2.01886673]],[[2.15657323]],[[2.42462037]],[[2.94960685]],[[3.13806331]],[[2.77430903]],[[2.73891144]],[[2.06417099]],[[1.04947802]],[[1.0364181]],[[0.66883611]],[[0.48084988]]
