['NDUFAF7'],[[1.32667604]],[[1.81263581]],[[1.96348333]],[[2.04357273]],[[1.6752644]],[[1.25086506]],[[1.16771316]],[[0.82483314]],[[0.80081442]],[[0.9905659]],[[0.91579102]],[[0.84412173]],[[0.87862028]]
['CREBBP'],[[1.49104668]],[[1.71898699]],[[1.64211327]],[[1.73948803]],[[1.64268672]],[[1.17873065]],[[1.16281018]],[[1.0058416]],[[1.05474774]],[[1.3213668]],[[1.03131589]],[[0.96442744]],[[1.01788619]]
['NADK'],[[1.43304561]],[[1.79091035]],[[1.72122965]],[[1.82053148]],[[1.75097508]],[[1.49035106]],[[1.45038312]],[[1.12522672]],[[1.17778151]],[[1.50985229]],[[1.08989696]],[[1.1120859]],[[1.09564496]]
['ZNF200'],[[1.22143424]],[[1.869688]],[[1.92108003]],[[1.90037411]],[[1.55711846]],[[1.2718669]],[[1.29943204]],[[1.13082283]],[[0.8673949]],[[1.21635633]],[[0.92902627]],[[1.09762371]],[[0.94008472]]
['MVP'],[[1.29922218]],[[1.9480406]],[[1.83503945]],[[1.9393254]],[[1.89655778]],[[1.52550256]],[[1.46830768]],[[1.28288738]],[[1.20416543]],[[1.41061148]],[[1.09653482]],[[1.10850238]],[[1.11360603]]
['ZC3H3'],[[1.31808431]],[[1.7353388]],[[1.59609943]],[[1.73409486]],[[1.65030647]],[[1.23858581]],[[0.98304921]],[[1.07232389]],[[1.09082394]],[[1.30566474]],[[0.99994496]],[[1.08538036]],[[1.0372914]]
['SLC45A4'],[[1.5041886]],[[1.93544074]],[[1.84734559]],[[1.89685005]],[[1.52975751]],[[1.1338086]],[[1.2938528]],[[0.96097222]],[[0.99967532]],[[1.34614943]],[[0.91479266]],[[0.80176103]],[[0.93165083]]
['RB1CC1'],[[1.44973086]],[[2.08356902]],[[2.34792759]],[[2.18134566]],[[2.11765447]],[[1.30003893]],[[1.43462526]],[[1.1799348]],[[1.06169791]],[[1.37514154]],[[1.08955798]],[[0.90715133]],[[1.07643339]]
['NSMAF'],[[1.35188079]],[[1.64783226]],[[1.72111858]],[[1.78587812]],[[1.6889007]],[[1.17926067]],[[1.08282638]],[[0.94370814]],[[0.99216724]],[[1.16082478]],[[1.0026727]],[[0.98399965]],[[1.01229187]]
['CELF2'],[[1.56539358]],[[1.87040302]],[[1.96749992]],[[1.85790271]],[[1.84534678]],[[1.07990411]],[[1.17281991]],[[0.99734485]],[[0.98051444]],[[1.17246678]],[[0.97562818]],[[0.99626621]],[[0.95094947]]
['H6PD'],[[1.39516776]],[[1.71947273]],[[1.66661524]],[[1.81326935]],[[1.92182966]],[[1.36975446]],[[1.11974572]],[[1.01021214]],[[0.96928259]],[[1.22667042]],[[1.06864571]],[[1.0473379]],[[1.06394894]]
['VAMP3'],[[1.4042514]],[[1.81713733]],[[1.90475456]],[[1.93651223]],[[2.14593476]],[[1.57059477]],[[1.40711676]],[[1.23669689]],[[1.28023227]],[[1.58667031]],[[1.19563059]],[[1.12197541]],[[1.22971742]]
['RFC2'],[[1.16325997]],[[1.85633252]],[[1.59961684]],[[1.79580833]],[[1.89142571]],[[1.12149807]],[[0.97321987]],[[0.96307832]],[[1.06694607]],[[1.26799372]],[[1.05933081]],[[0.96062365]],[[1.01458398]]
['ARID4B'],[[1.25319441]],[[1.7956618]],[[1.90613288]],[[1.79665426]],[[1.74916094]],[[1.30257662]],[[1.29700887]],[[1.0757972]],[[0.96610387]],[[1.22701685]],[[1.0109798]],[[0.92036753]],[[0.99374856]]
['ITIH4'],[[1.36366208]],[[2.04477402]],[[2.27177957]],[[2.2810212]],[[1.94646029]],[[1.96178964]],[[1.69714333]],[[1.34249751]],[[1.03762648]],[[0.97859504]],[[0.96031681]],[[1.38798372]],[[1.03836313]]
['PRDM1'],[[1.43140125]],[[2.22786259]],[[2.10530519]],[[1.97928512]],[[1.82720278]],[[0.92578887]],[[0.93710807]],[[0.87090018]],[[0.78156658]],[[1.03312558]],[[0.85230972]],[[1.09140206]],[[0.966165]]
['ATP2B4'],[[0.84599091]],[[1.44141661]],[[1.56615425]],[[1.64310465]],[[1.65670675]],[[1.46998917]],[[1.29598265]],[[1.0021773]],[[0.94151659]],[[1.00402705]],[[0.96970933]],[[0.93274765]],[[1.03821109]]
['ZC3H11A'],[[1.06662118]],[[1.74181849]],[[2.56638586]],[[2.03145692]],[[1.96195652]],[[1.72960029]],[[1.65309627]],[[1.56849488]],[[1.34642852]],[[1.41063754]],[[1.19250727]],[[0.90362486]],[[1.2351716]]
['DNAJC25'],[[0.81065219]],[[1.25663131]],[[1.5582591]],[[1.61295788]],[[1.4600195]],[[1.0027066]],[[0.92703668]],[[1.08000202]],[[0.87611269]],[[1.07064239]],[[0.9413918]],[[0.59324351]],[[0.89190999]]
['CYB5R4'],[[1.6926265]],[[1.86155698]],[[2.04114595]],[[2.0535491]],[[2.06987745]],[[1.5412854]],[[1.6760657]],[[1.2152047]],[[1.11647862]],[[1.47865861]],[[1.11371992]],[[0.94849881]],[[1.0996048]]
['TBC1D1'],[[1.55701907]],[[1.93815837]],[[1.75632966]],[[1.6969938]],[[1.76133065]],[[1.12090005]],[[1.13724973]],[[1.05175036]],[[1.04513709]],[[1.31750386]],[[1.01850868]],[[1.00680652]],[[1.02235777]]
['DIP2B'],[[1.48401863]],[[2.07305137]],[[2.09601473]],[[2.06562178]],[[1.99183699]],[[1.40518722]],[[1.40754476]],[[1.16121577]],[[1.13443099]],[[1.41294977]],[[1.08026517]],[[1.10790658]],[[1.07361147]]
['SP100'],[[1.24389609]],[[1.65327488]],[[1.70496145]],[[1.71657681]],[[1.74926311]],[[1.44806953]],[[1.42155665]],[[1.20131201]],[[1.10284397]],[[1.27956552]],[[1.01539473]],[[1.20905132]],[[1.0718116]]
['KLF6'],[[1.74017063]],[[2.03525987]],[[2.12297689]],[[2.16278615]],[[2.02751699]],[[1.33024789]],[[1.4117451]],[[1.09336055]],[[1.02358242]],[[1.34066528]],[[1.0087388]],[[1.07851744]],[[1.0293524]]
['PDK3'],[[1.58190581]],[[1.75593823]],[[1.85219178]],[[1.76655783]],[[1.78206043]],[[1.35135906]],[[1.5268595]],[[1.15135851]],[[1.0989661]],[[1.33093585]],[[1.01926192]],[[0.81653478]],[[1.00863424]]
['SRBD1'],[[1.61830495]],[[1.8895558]],[[1.87562692]],[[1.90792547]],[[1.90274329]],[[1.03683201]],[[1.16811359]],[[1.28863936]],[[1.13898992]],[[1.37860617]],[[1.11539483]],[[1.18418944]],[[1.12929707]]
['SNX13'],[[1.48729928]],[[1.68794404]],[[2.03932827]],[[1.88541157]],[[1.80424138]],[[1.42961193]],[[1.53623381]],[[1.1357967]],[[0.98724887]],[[1.3232724]],[[1.03593307]],[[0.92725595]],[[1.02710972]]
['MARK2'],[[1.37154642]],[[1.75883978]],[[1.63967791]],[[1.69306289]],[[1.71580845]],[[1.33364638]],[[1.29964331]],[[1.07321501]],[[1.14587101]],[[1.37819294]],[[1.08503769]],[[0.99650078]],[[1.06916424]]
['ACAP1'],[[1.29110826]],[[1.78254998]],[[1.67354827]],[[1.82432078]],[[1.67822314]],[[1.38302204]],[[1.23757967]],[[0.97369697]],[[0.92440026]],[[1.05877501]],[[0.9145686]],[[0.97640698]],[[0.90749404]]
['PICALM'],[[1.39133397]],[[1.68252415]],[[1.96039699]],[[1.85670859]],[[1.91253787]],[[1.46057091]],[[1.51816231]],[[1.1950077]],[[1.26288491]],[[1.68708182]],[[1.09962156]],[[1.02581105]],[[1.16300387]]
['CLASP1'],[[1.34357296]],[[1.67453241]],[[1.75896166]],[[1.72519518]],[[1.62775969]],[[1.16994147]],[[1.07640118]],[[0.9876669]],[[0.98024274]],[[1.15144377]],[[0.9804261]],[[0.91340008]],[[0.9705683]]
['SEMA3C'],[[1.3235136]],[[1.25436188]],[[1.30253652]],[[1.26435516]],[[1.45678717]],[[0.92238147]],[[0.99643456]],[[0.80229495]],[[0.91687357]],[[1.28288453]],[[0.97452629]],[[1.01197615]],[[0.97121547]]
['ARHGAP15'],[[1.64481711]],[[2.09898111]],[[2.42727245]],[[2.24512275]],[[1.83485673]],[[1.40276866]],[[1.56820024]],[[1.06276693]],[[0.8098436]],[[1.02637304]],[[0.90471463]],[[0.84047911]],[[0.89677163]]
['PAG1'],[[0.92949712]],[[1.98344717]],[[2.20461414]],[[2.19014127]],[[1.8377789]],[[1.25430146]],[[1.3432624]],[[1.0744956]],[[0.9016278]],[[1.01535555]],[[0.91224885]],[[0.9654092]],[[0.9081025]]
['PPP1R12B'],[[1.9329028]],[[1.51472719]],[[1.56351622]],[[1.52666298]],[[1.60717913]],[[0.80227961]],[[0.87189944]],[[0.6475307]],[[0.87977881]],[[1.48300268]],[[1.01969331]],[[0.82469763]],[[1.00608557]]
['NEBL'],[[3.19073122]],[[3.22284036]],[[3.72146826]],[[2.65398052]],[[5.04033283]],[[2.26467077]],[[1.35617626]],[[0.50718605]],[[3.38881901]],[[4.60392759]],[[4.36166208]],[[0.88985509]],[[4.00611348]]
['TP53INP2'],[[2.19276787]],[[2.04477386]],[[1.95963443]],[[2.01331851]],[[1.65654964]],[[0.77915566]],[[0.61628285]],[[0.61082284]],[[0.78494594]],[[1.44252885]],[[1.02687359]],[[0.80278625]],[[1.05066188]]
['RFX3'],[[1.19211458]],[[1.60000567]],[[1.7628672]],[[1.62110645]],[[1.54493223]],[[1.02252995]],[[1.15682808]],[[0.98866964]],[[0.91146123]],[[1.06242877]],[[0.82006488]],[[0.81269146]],[[0.87004426]]
['RAB21'],[[1.30225188]],[[1.82054205]],[[1.96430411]],[[1.83330662]],[[1.87093438]],[[1.33037539]],[[1.39904881]],[[1.14472791]],[[1.10229748]],[[1.36239508]],[[1.069119]],[[1.00593127]],[[1.07966534]]
['PSEN1'],[[1.64105827]],[[1.87225299]],[[1.92367884]],[[1.91448873]],[[1.73705888]],[[1.42159798]],[[1.44128181]],[[1.18234978]],[[1.06093262]],[[1.39708779]],[[1.05621288]],[[1.03563495]],[[1.09375262]]
['PHLPP1'],[[1.31473554]],[[2.06910007]],[[1.94424245]],[[2.11504871]],[[1.77756108]],[[1.25829345]],[[1.36491924]],[[0.96791454]],[[0.98841623]],[[1.42573866]],[[1.24205964]],[[0.95831521]],[[1.18136299]]
['RNF13'],[[1.65588259]],[[2.07854026]],[[2.28212944]],[[2.21557133]],[[2.1260947]],[[1.42304576]],[[1.42214429]],[[1.14364643]],[[1.08074529]],[[1.5408862]],[[1.11396654]],[[1.07236271]],[[1.17031371]]
['KAT6A'],[[1.22428146]],[[2.05615276]],[[1.9935616]],[[2.00245002]],[[1.87795623]],[[1.39964817]],[[1.31739079]],[[1.07400792]],[[0.93729638]],[[1.16780601]],[[0.98387919]],[[0.9359619]],[[1.0088186]]
['ZCCHC6'],[[1.60190328]],[[1.8187629]],[[1.94435244]],[[1.90159661]],[[1.88701334]],[[1.37990446]],[[1.34576886]],[[1.14131868]],[[1.04986929]],[[1.35889552]],[[1.06852461]],[[1.06518774]],[[1.04305421]]
['ZNF586'],[[1.59536965]],[[1.77284541]],[[1.83289303]],[[1.94700442]],[[1.6878913]],[[1.3631124]],[[1.28671349]],[[1.0911859]],[[0.93251217]],[[1.2045721]],[[0.89388536]],[[0.9176834]],[[0.90963508]]
['CHMP2B'],[[1.27553669]],[[1.80771304]],[[2.11300705]],[[1.95412551]],[[1.99959604]],[[1.5336644]],[[1.43698997]],[[1.23555488]],[[1.04554179]],[[1.40360684]],[[1.08942674]],[[0.9513165]],[[1.14885444]]
['NCOA1'],[[1.4363788]],[[1.75261186]],[[1.85496383]],[[1.93610188]],[[1.82990533]],[[1.41284204]],[[1.41433938]],[[1.18364456]],[[1.12701695]],[[1.411211]],[[1.10132955]],[[0.97983253]],[[1.11041854]]
['SLC25A24'],[[1.07230684]],[[1.59254731]],[[1.90062672]],[[1.84723998]],[[1.73850237]],[[1.65003011]],[[1.63153024]],[[1.2185585]],[[1.00384289]],[[1.13184773]],[[0.86548966]],[[1.084397]],[[0.94259033]]
['PPEF1'],[[0.79050667]],[[1.2566314]],[[1.18675136]],[[1.24642206]],[[1.66161276]],[[1.109815]],[[0.47509996]],[[0.9268051]],[[1.00231224]],[[1.16227009]],[[0.84190311]],[[0.99650093]],[[0.90413093]]
['PPP1R15A'],[[1.30262588]],[[2.17351591]],[[2.02602515]],[[2.13079567]],[[1.94114951]],[[1.31649686]],[[1.43138146]],[[1.07935741]],[[1.09255117]],[[1.4987008]],[[1.15866479]],[[1.08918498]],[[1.13778906]]
['ERGIC2'],[[1.49855522]],[[1.79156099]],[[2.27427264]],[[2.13316167]],[[1.85640503]],[[1.37126393]],[[1.40565136]],[[1.04256569]],[[0.96813963]],[[1.25213581]],[[1.03046817]],[[0.87776404]],[[1.01221497]]
['SPTLC1'],[[1.37472513]],[[1.67658771]],[[1.81804743]],[[1.7436962]],[[1.79940894]],[[1.34257835]],[[1.34766523]],[[1.11446615]],[[1.09814581]],[[1.34624705]],[[1.07423139]],[[1.04834684]],[[1.10667187]]
['SLC7A8'],[[2.08115128]],[[2.55159022]],[[2.42658973]],[[2.31339439]],[[2.82701604]],[[0.89130024]],[[0.41608105]],[[0.84458037]],[[1.64550356]],[[2.16669042]],[[1.12313745]],[[1.34489718]],[[1.53029585]]
['MAST3'],[[1.60601145]],[[1.91867542]],[[1.82431017]],[[1.88839521]],[[1.87183193]],[[1.18910874]],[[1.14608588]],[[0.95741168]],[[1.18755077]],[[1.54500379]],[[1.21702968]],[[0.9735]],[[1.21893462]]
['MKNK2'],[[1.25728038]],[[1.83189377]],[[1.63966696]],[[1.71849846]],[[1.73547235]],[[1.25514822]],[[1.0400564]],[[0.95942376]],[[1.19845216]],[[1.56485281]],[[1.07206039]],[[0.97218849]],[[1.10029023]]
