['TSPAN6'],[[0.97272093]],[[0.50711161]],[[0.31994473]],[[0.66840072]],[[0.48449608]],[[0.92703357]],[[0.52306511]],[[0.83188954]],[[0.72934239]],[[0.9503106]],[[0.82725758]],[[0.91682453]],[[0.77950711]]
['NIPAL3'],[[0.49895263]],[[0.40447418]],[[0.33664485]],[[0.53222182]],[[0.40946625]],[[0.58023215]],[[0.33350535]],[[0.96359609]],[[0.80028943]],[[0.9117712]],[[0.82924941]],[[1.00554405]],[[0.91222913]]
['SARM1'],[[0.6076804]],[[0.42736396]],[[0.45714726]],[[0.5840814]],[[0.40841619]],[[0.54394152]],[[0.21762731]],[[0.94923297]],[[0.7585717]],[[0.81554723]],[[0.93485272]],[[1.08712933]],[[0.94870568]]
['COPZ2'],[[1.36297262]],[[1.30696619]],[[1.59819477]],[[0.96756582]],[[0.79234133]],[[0.27538604]],[[0.7113178]],[[1.27106609]],[[1.19023138]],[[0.90314323]],[[1.14734086]],[[1.63948724]],[[1.3572002]]
['OSBPL7'],[[0.89106632]],[[0.68496315]],[[0.55216759]],[[0.78442286]],[[0.58231714]],[[0.60713371]],[[0.32186526]],[[1.03821432]],[[0.97178077]],[[0.88750527]],[[1.16824014]],[[1.30588783]],[[1.09531121]]
['BAIAP2L1'],[[0.34427264]],[[0.25889386]],[[0.15816285]],[[0.44170774]],[[0.27321592]],[[0.58953626]],[[0.14008212]],[[0.73401163]],[[0.53003555]],[[0.96875407]],[[0.69434226]],[[0.9296433]],[[1.07978604]]
['SCIN'],[[0.37790824]],[[0.40882221]],[[0.97492863]],[[0.44223176]],[[0.54091423]],[[0.35662148]],[[0.42211758]],[[0.50767657]],[[0.71961201]],[[1.29291526]],[[0.62944953]],[[0.73387426]],[[0.48728604]]
['PRSS21'],[[0.77687114]],[[0.429613]],[[0.49460635]],[[1.28204036]],[[0.92812382]],[[0.80099181]],[[0.34473179]],[[1.73737219]],[[2.01606055]],[[1.25216177]],[[2.20297926]],[[2.09064768]],[[2.06924621]]
['TRAPPC6A'],[[0.51751029]],[[0.43919019]],[[0.56505364]],[[0.68853818]],[[0.52324854]],[[0.48960359]],[[0.22127146]],[[0.93032698]],[[0.79695293]],[[0.96464065]],[[0.96345539]],[[1.17591884]],[[1.05822164]]
['SCN4A'],[[1.23115825]],[[0.7966837]],[[0]],[[1.17327638]],[[1.10309819]],[[0.39558587]],[[0.46715362]],[[1.39660167]],[[1.43401927]],[[0.72473935]],[[1.73402061]],[[1.7942722]],[[1.39457017]]
['ADAM22'],[[0.46778967]],[[0.56662717]],[[0.26452405]],[[0.63188829]],[[0.48902795]],[[0.22981193]],[[0.15406635]],[[0.84448977]],[[0.68709658]],[[0.56643979]],[[0.80862704]],[[1.06870688]],[[0.86219144]]
['PKD1'],[[0.43143427]],[[0.41070461]],[[0.39920695]],[[0.58474736]],[[0.39881218]],[[0.64232983]],[[0.38484963]],[[0.96697243]],[[0.84780023]],[[0.90136634]],[[0.97146856]],[[1.07947068]],[[0.95932019]]
['RHOBTB2'],[[0.39604483]],[[0.43291678]],[[0.5449715]],[[0.80992382]],[[0.60531578]],[[0.762547]],[[0.45167676]],[[1.11560095]],[[1.10153285]],[[0.80847877]],[[1.00047755]],[[1.22276534]],[[1.06688146]]
['ZBTB32'],[[0.35697806]],[[0.31695801]],[[0.36699434]],[[0.98911413]],[[0.47106715]],[[0.55896827]],[[0.39906114]],[[1.19203225]],[[1.12374768]],[[1.09899456]],[[1.31702417]],[[1.65809253]],[[1.29966046]]
['ANGEL1'],[[0.56112769]],[[0.47069177]],[[0.52462086]],[[0.62869728]],[[0.46764456]],[[0.66337159]],[[0.36276851]],[[1.07248326]],[[0.91909699]],[[0.81252819]],[[0.98598227]],[[1.0931871]],[[0.96933999]]
['DDX11'],[[0.58567859]],[[0.58680673]],[[0.44908959]],[[0.57147227]],[[0.37792591]],[[0.64811733]],[[0.45624304]],[[0.83787189]],[[0.75887647]],[[0.91743759]],[[0.88141078]],[[0.89745603]],[[0.81666447]]
