['STPG1'],[[1.06745543]],[[0.30925363]],[[0.49509459]],[[0.74681861]],[[0.51636575]],[[0.83654009]],[[1.21774393]],[[1.0446547]],[[0.92458008]],[[1.00011792]],[[1.04835087]],[[1.23036067]],[[0.98964497]]
['KLHL13'],[[0.7109104]],[[0.60034596]],[[0.6948078]],[[0.72771002]],[[0.53332036]],[[0.82052445]],[[0.47643683]],[[1.1148542]],[[1.23705995]],[[1.27315675]],[[0.91517275]],[[0.83385319]],[[0.94929987]]
['CD4'],[[0.79077949]],[[0.32047628]],[[0.31628977]],[[0.48013184]],[[0.32393658]],[[0.79902967]],[[0.9027338]],[[0.93378378]],[[0.86779402]],[[1.10080242]],[[0.89520196]],[[0.92995226]],[[1.15300769]]
['VSIG2'],[[1.00217524]],[[0.55038068]],[[0.18802165]],[[0.3009858]],[[0.3140265]],[[0.2294166]],[[0.82764043]],[[1.03503128]],[[0.85941785]],[[0.88763363]],[[0.91517275]],[[0.43519953]],[[0.55136115]]
['TRIT1'],[[1.15697311]],[[0.53118837]],[[0.61692395]],[[0.75032234]],[[0.51761449]],[[0.97258065]],[[1.07679473]],[[1.08212966]],[[1.14598828]],[[1.01447438]],[[0.95417117]],[[1.0537053]],[[1.134024]]
['DSG2'],[[1.48083548]],[[0]],[[0.76213819]],[[1.18874252]],[[0.64311549]],[[0.51692479]],[[0.76921801]],[[1.11485419]],[[1.01284222]],[[1.18599872]],[[0.52896875]],[[0.66614731]],[[1.5169585]]
['PTPRU'],[[0.96735681]],[[0.25523487]],[[0.54991712]],[[0.29146187]],[[0.39250917]],[[1.10371369]],[[1.19616666]],[[1.1148542]],[[1.12930259]],[[1.50689018]],[[0.6695075]],[[0.25774675]],[[1.16430175]]
['NTHL1'],[[0.63509721]],[[0.24286982]],[[0.37078211]],[[0.58435094]],[[0.36842352]],[[0.59842089]],[[0.769218]],[[0.63430374]],[[0.87916205]],[[1.03141658]],[[0.87905804]],[[0.91486465]],[[0.99730264]]
['KIF26A'],[[0.92261773]],[[0.367701]],[[0.23143314]],[[0.9285719]],[[1.29114495]],[[0.81071322]],[[1.21452784]],[[1.20879666]],[[1.26278704]],[[1.18599872]],[[0.91517275]],[[0.66614731]],[[0.66159876]]
['TRO'],[[1.15586906]],[[0.5826992]],[[0.48307088]],[[0.49355775]],[[0.5710277]],[[0.45348546]],[[0.68142668]],[[1.50175163]],[[0.9049432]],[[1.49657808]],[[1.33256787]],[[0.74042033]],[[1.30035713]]
['NAV3'],[[1.29207708]],[[1.04121797]],[[0.87593965]],[[0.64397555]],[[0.2831093]],[[0.44770916]],[[0.65912884]],[[0.91132715]],[[1.06056036]],[[0.93116482]],[[0.83784087]],[[0.83385321]],[[0.90216855]]
