['CFH'],[[1.15153686]],[[0.7554528]],[[0.90444507]],[[0.5949052]],[[0.81300218]],[[0.67771069]],[[0.78335622]],[[0.886953]],[[0.9492409]],[[1.09052064]],[[1.22755067]],[[1.37263896]],[[1.25885286]]
['HS3ST1'],[[0.91890531]],[[0.21572558]],[[0]],[[0.46757164]],[[1.16571517]],[[0.71583011]],[[0.51297014]],[[0.44417681]],[[1.93664076]],[[1.37631535]],[[1.13106899]],[[0.95230633]],[[1.55884469]]
['THSD7A'],[[0.28840226]],[[0.53485933]],[[0.48337135]],[[0.18032722]],[[0.47716606]],[[0.15280205]],[[0.1997716]],[[0.37028729]],[[0.59939984]],[[1.10634542]],[[1.01160111]],[[0.40621521]],[[0.91892]]
['WDR54'],[[1.19214088]],[[0.8167963]],[[0.75362656]],[[0.63432116]],[[0.75174064]],[[0.56993228]],[[0.86497209]],[[0.88838682]],[[1.1376854]],[[1.08888347]],[[1.29959563]],[[1.25989407]],[[1.26128041]]
['ABCB4'],[[1.27803723]],[[0.68000129]],[[0.33519431]],[[0.26801432]],[[1.72129432]],[[0.82449381]],[[0.8148247]],[[0.71453629]],[[2.61930102]],[[0.78263203]],[[1.18241072]],[[1.20723622]],[[1.02712694]]
['MAP3K9'],[[1.12672716]],[[0.67819878]],[[0.82824014]],[[0.63404986]],[[0.66333281]],[[0.81717255]],[[0.77816784]],[[0.93019705]],[[1.27659056]],[[0.99537758]],[[1.45484932]],[[1.13480152]],[[1.28051799]]
['MATK'],[[1.33735729]],[[0.67621782]],[[0.59486974]],[[0.32968929]],[[0.83036386]],[[0.47280709]],[[0.73080973]],[[0.80767406]],[[1.31794357]],[[1.01086612]],[[1.35149206]],[[1.39532887]],[[1.28925564]]
['CACNA2D2'],[[1.32396573]],[[0.67073331]],[[0.55375933]],[[0.24197516]],[[0.88991453]],[[0.49832076]],[[0.61612418]],[[0.77031259]],[[1.28416628]],[[0.96061412]],[[1.35864706]],[[1.3854849]],[[1.24381835]]
['GIPR'],[[1.19725757]],[[0.7028479]],[[0.4366334]],[[0.58166888]],[[0.59176256]],[[0.50254451]],[[0.82321317]],[[0.87303366]],[[1.06975664]],[[1.21864002]],[[1.46184748]],[[1.34563837]],[[1.26018743]]
['BIRC3'],[[0.89386478]],[[0.50373755]],[[0.50002739]],[[0.44123784]],[[0.49338581]],[[0.69158043]],[[0.67153353]],[[0.76545602]],[[0.87147536]],[[0.78757668]],[[0.99884468]],[[1.06465945]],[[1.01576614]]
['SLAMF7'],[[1.09613098]],[[0.59931336]],[[0.59370639]],[[0.50497228]],[[0.51405264]],[[0.53303236]],[[0.75310043]],[[0.77206077]],[[0.77254643]],[[0.64467654]],[[0.95056387]],[[0.96064437]],[[0.79975499]]
['STAP1'],[[1.22611922]],[[0.74769382]],[[0.89557639]],[[0.48843924]],[[1.09439933]],[[0.98589965]],[[0.75631344]],[[0.79387559]],[[1.57464589]],[[1.04244973]],[[1.03410307]],[[1.17301188]],[[1.17039266]]
['FLT4'],[[0.93737848]],[[0.52531914]],[[0.58576564]],[[0.56609527]],[[0.35646977]],[[0.59047381]],[[0.83292374]],[[0.77039195]],[[0.6094326]],[[1.00972533]],[[1.1595972]],[[1.31728263]],[[1.21996845]]
['PARP3'],[[0.72665899]],[[0.45389766]],[[0.31582429]],[[0.40309432]],[[0.26208255]],[[0.41208368]],[[0.5321958]],[[0.48459365]],[[0.5601972]],[[0.71154461]],[[0.61018134]],[[0.66451526]],[[0.71977839]]
['ADRB1'],[[1.0128691]],[[0.21572558]],[[0.57570075]],[[0]],[[0.7275826]],[[0]],[[0.19197736]],[[0]],[[0.456253]],[[0.6905185]],[[0.62387098]],[[0.76657193]],[[0.4954104]]
['NEXMIF'],[[1.2664563]],[[0.69102469]],[[0.90444508]],[[0.79002528]],[[0.31614533]],[[1.15294423]],[[1.16804328]],[[0.86717367]],[[0.70184195]],[[1.2076276]],[[1.74394783]],[[1.13887729]],[[1.56123121]]
['HHAT'],[[0.83517516]],[[0.74848211]],[[0.75635084]],[[0.41256799]],[[0.44532611]],[[0.60491349]],[[0.67815034]],[[0.83150495]],[[0.73906351]],[[0.87670871]],[[1.10188163]],[[1.03469131]],[[1.01347478]]
['TRAF1'],[[1.03645335]],[[0.54461624]],[[0.60945637]],[[0.5042696]],[[0.54245506]],[[0.65185622]],[[0.82923766]],[[0.74490097]],[[1.02749649]],[[1.0074702]],[[1.17293657]],[[1.24322326]],[[1.20858563]]
['PSD'],[[1.11809933]],[[0.47206219]],[[0.40809677]],[[0.46757164]],[[0.54135214]],[[0.92554313]],[[0.65013339]],[[0.86173191]],[[1.05764217]],[[0.87566549]],[[1.20063653]],[[1.20723621]],[[1.07467576]]
['ZNF112'],[[0.90496802]],[[0.45276185]],[[0.24710055]],[[0]],[[0.61187703]],[[0.63287547]],[[0.40634279]],[[1.24700177]],[[0.98533225]],[[0.76685651]],[[0.89964514]],[[0.73797315]],[[1.26589303]]
['PRKCQ'],[[1.13720234]],[[0.78174937]],[[0.69313106]],[[0.5724806]],[[0.60737677]],[[0.61481172]],[[0.72695619]],[[0.84628884]],[[0.95232191]],[[0.98312865]],[[1.13333451]],[[1.23111617]],[[1.08237963]]
['PLPP1'],[[0.90807686]],[[0.71822025]],[[0.52196752]],[[0.27816982]],[[0.46905936]],[[0.58464143]],[[0.73482782]],[[0.61742051]],[[0.90932609]],[[0.7962955]],[[0.91812033]],[[0.8099618]],[[1.17116037]]
['RORA'],[[1.27635178]],[[0.75192626]],[[0.73375676]],[[0.53451001]],[[0.60851439]],[[0.95480838]],[[0.89369584]],[[0.88635391]],[[0.99062119]],[[0.99260297]],[[1.25946455]],[[1.33685396]],[[1.22298214]]
['TGFBR3'],[[1.26534901]],[[0.6273705]],[[0.57884113]],[[0.33758148]],[[0.72563499]],[[0.55593506]],[[0.66049445]],[[0.78996621]],[[0.98945464]],[[0.93036149]],[[1.25535834]],[[1.36416223]],[[1.18948902]]
['TRIB2'],[[1.38978253]],[[0.87946412]],[[0.99041995]],[[0.81044227]],[[0.69109944]],[[0.94983796]],[[1.1159466]],[[1.02258237]],[[1.13349721]],[[1.1508811]],[[1.32783656]],[[1.39215908]],[[1.27257541]]
['TP63'],[[1.86654895]],[[0.71822026]],[[1.50122534]],[[1.42450927]],[[0.53578698]],[[0.32995156]],[[1.24266458]],[[1.10683086]],[[0.89308141]],[[1.24796033]],[[1.70069639]],[[1.26450343]],[[0.65407842]]
['LLGL2'],[[1.2469036]],[[0.64827063]],[[0.62925803]],[[0.41140766]],[[0.72176761]],[[0.55654687]],[[0.8636334]],[[0.92229553]],[[1.16063529]],[[0.97471103]],[[1.28036152]],[[1.30271429]],[[1.14272266]]
['TBX21'],[[1.41450773]],[[0.82442584]],[[0.65369873]],[[0.4545466]],[[0.99124048]],[[0.4400728]],[[0.67706885]],[[0.81052657]],[[0.98857214]],[[1.01808708]],[[1.38347561]],[[1.44342908]],[[1.2562843]]
['UNG'],[[1.39618001]],[[0.90644414]],[[1.13017404]],[[0.87590293]],[[0.57102276]],[[0.80182509]],[[0.87774591]],[[0.81134318]],[[0.95811562]],[[0.88932265]],[[1.11030442]],[[1.21973464]],[[1.00165408]]
['TPD52'],[[1.22566653]],[[0.84429881]],[[1.13766838]],[[0.86234878]],[[0.78950948]],[[1.40842498]],[[1.14835807]],[[1.11035545]],[[1.22741293]],[[0.82122765]],[[1.19691022]],[[1.19760099]],[[1.15286655]]
['LAMP3'],[[0.36610593]],[[0.43160193]],[[0.3984577]],[[0.41256805]],[[0.46257422]],[[0.29362697]],[[0.18711099]],[[0.17622503]],[[0.31398519]],[[0.36960587]],[[0.45871431]],[[0.36803825]],[[0.3650346]]
['SLC4A4'],[[1.05981828]],[[0.61241152]],[[0.5362563]],[[0.29384476]],[[0.75595029]],[[0.54931505]],[[0.64152783]],[[0.73289486]],[[0.94104228]],[[0.79963553]],[[0.9744845]],[[1.15457121]],[[0.9157969]]
['COL5A3'],[[2.3843193]],[[1.95987338]],[[2.06725196]],[[1.93253799]],[[0.98340309]],[[1.31639658]],[[1.57956685]],[[1.4492077]],[[1.1756625]],[[1.22389625]],[[1.49159866]],[[1.73062225]],[[1.41773896]]
['IL12RB2'],[[1.51410072]],[[1.07943086]],[[1.29958924]],[[1.01488846]],[[1.14733941]],[[0.68224793]],[[0.85098848]],[[0.81070272]],[[1.3175]],[[1.24327339]],[[1.23745055]],[[1.05770979]],[[1.06529054]]
['DLG3'],[[1.4118695]],[[0.61538511]],[[0.79424355]],[[0.66989626]],[[0.69735138]],[[0.72569639]],[[0.76481884]],[[0.84218318]],[[1.0525841]],[[1.05446886]],[[1.30185544]],[[1.45349348]],[[1.22908032]]
['TRAF5'],[[0.99869142]],[[0.48780276]],[[0.56518179]],[[0.48870699]],[[0.53319925]],[[0.73844295]],[[0.68768882]],[[0.74337783]],[[0.87285865]],[[0.85030488]],[[1.09646044]],[[1.10193602]],[[1.06863318]]
['PPP1R13B'],[[1.18421715]],[[0.79122142]],[[0.70045846]],[[0.63380646]],[[0.77149898]],[[0.78864827]],[[1.04493694]],[[1.02299096]],[[1.25817707]],[[1.1367418]],[[1.3557862]],[[1.37951683]],[[1.32904017]]
