['SLC4A1'],[[0.68155914]],[[0.64532]],[[0.63115778]],[[0.81241789]],[[1.12460165]],[[0.96400265]],[[1.11590611]],[[1.37860817]],[[2.69320467]],[[1.35993598]],[[1.20763033]],[[1.20030985]],[[1.05854927]]
['ITGA2B'],[[0.6109228]],[[0.61536342]],[[0.70089799]],[[0.68096849]],[[1.03991727]],[[0.92474948]],[[1.66133095]],[[2.23220732]],[[2.46117867]],[[1.72133464]],[[1.15330214]],[[0.99190273]],[[0.84421945]]
['NFIX'],[[0.71643538]],[[0.67918717]],[[0.65836738]],[[0.80200869]],[[1.15226029]],[[0.78159161]],[[1.07689951]],[[1.35395871]],[[2.67092946]],[[1.28227202]],[[1.0753394]],[[1.05789547]],[[1.09525909]]
['RNF10'],[[0.81037345]],[[1.18053138]],[[1.16227526]],[[1.36462362]],[[1.45008604]],[[1.33699017]],[[1.111316]],[[1.23513004]],[[2.26320495]],[[1.16094728]],[[1.10970131]],[[1.08250912]],[[1.08458521]]
['ANK1'],[[0.66017541]],[[0.62991911]],[[0.65549231]],[[0.76457339]],[[0.96075825]],[[0.84232526]],[[1.13956761]],[[1.36902731]],[[2.31429632]],[[1.17273005]],[[1.10427806]],[[1.10207246]],[[1.00556404]]
['XK'],[[0.72401953]],[[0.6523802]],[[0.7027966]],[[0.74286315]],[[0.98738659]],[[1.27825383]],[[1.26015726]],[[1.71605047]],[[2.70587236]],[[1.10525993]],[[1.2855068]],[[1.17381328]],[[1.18916918]]
['MAOB'],[[1.14644304]],[[0.88257211]],[[0.93006075]],[[0.82012622]],[[0.87075817]],[[1.16055791]],[[2.25284783]],[[2.70260373]],[[2.24830538]],[[1.9667144]],[[1.1582245]],[[1.42767413]],[[1.02861395]]
['SPTB'],[[0.68261313]],[[0.64037042]],[[0.63981631]],[[0.76975748]],[[1.0524151]],[[1.0548613]],[[1.24352948]],[[1.63430134]],[[2.81329706]],[[1.35537718]],[[1.27566612]],[[1.23177718]],[[0.98904031]]
['IGF2BP2'],[[0.71005219]],[[0.62150639]],[[0.67376935]],[[0.79409371]],[[0.98500645]],[[0.87017849]],[[0.96915022]],[[1.24883275]],[[2.09595732]],[[1.16139683]],[[1.10799098]],[[1.02583439]],[[1.06315157]]
['NOTCH3'],[[1.01286909]],[[0.994609]],[[0.85180779]],[[0.86746101]],[[1.49298507]],[[1.8752089]],[[1.63323567]],[[1.84337079]],[[2.14648494]],[[2.20992634]],[[0.84721278]],[[1.24274607]],[[1.05073134]]
['RAP1GAP'],[[0.87158716]],[[1.01173496]],[[0.95642503]],[[1.04208351]],[[2.10569538]],[[1.08844602]],[[1.71933722]],[[2.70451027]],[[4.05376118]],[[1.15774891]],[[1.70699778]],[[1.66197941]],[[1.20648199]]
