['AHRR'],[[0.48115202]],[[1.14966198]],[[0.90444508]],[[1.18645829]],[[0.92904315]],[[0.77720622]],[[0.6501334]],[[0.76074782]],[[0.79956231]],[[0.77345061]],[[1.07454205]],[[0.83117698]],[[0.71135825]]
['SPAG6'],[[0.29419955]],[[0.51611683]],[[0.19573064]],[[0.42250098]],[[0.61514223]],[[1.77692496]],[[1.40309501]],[[0.80552499]],[[0.51971679]],[[0.52258319]],[[0.46958821]],[[0.3913877]],[[0.24135031]]
['DHDH'],[[1.01286901]],[[0.60038477]],[[0]],[[2.02227509]],[[1.43738948]],[[1.01997561]],[[0.2959878]],[[0.25373118]],[[0.421934]],[[0.83652621]],[[0.89964507]],[[0.64245022]],[[0.21895306]]
['TPD52L1'],[[0.59355459]],[[0.7182202]],[[2.29959901]],[[1.33977599]],[[1.40563049]],[[0.71583006]],[[0]],[[1.28815199]],[[0.52673659]],[[0]],[[1.20063628]],[[0.95230625]],[[1.15650354]]
['IFIT3'],[[0.45546805]],[[0.6322587]],[[0.61646989]],[[0.68702352]],[[0.6553057]],[[0.21495686]],[[0.1789049]],[[0.19297309]],[[0.29641688]],[[0.3267629]],[[0.35386485]],[[0.24748705]],[[0.37016402]]
['CXCL6'],[[0.81839252]],[[1.70399927]],[[0.98608487]],[[1.87949382]],[[1.69616938]],[[1.08695286]],[[0]],[[0.31075696]],[[0.92398367]],[[1.5066983]],[[1.75720187]],[[1.73872824]],[[1.7019792]]
['C3'],[[0.91467768]],[[0.55336141]],[[0.55955787]],[[0.46177197]],[[0.63361422]],[[0.26883216]],[[0.33802988]],[[0.48962596]],[[1.10993556]],[[0.65019521]],[[0.97523926]],[[0.95230629]],[[1.07345497]]
['IFI6'],[[0.46121485]],[[0.51991558]],[[0.50180738]],[[0.54521729]],[[0.85335238]],[[0.20622785]],[[0.19860293]],[[0.22548347]],[[0.41444361]],[[0.34900559]],[[0.4214845]],[[0.35530902]],[[0.42189018]]
['CHI3L1'],[[0.80049724]],[[1.11697217]],[[1.15974365]],[[1.25787249]],[[0.85480386]],[[0.68473235]],[[0.16919886]],[[0.24409196]],[[0.46079331]],[[1.32761893]],[[1.01207706]],[[0.83493674]],[[1.07167851]]
['RSAD2'],[[0.37016148]],[[0.45982773]],[[0.40326129]],[[0.44716]],[[0.6754066]],[[0.19895176]],[[0.16827062]],[[0.25887771]],[[0.47937677]],[[0.24273981]],[[0.34947697]],[[0.29382746]],[[0.34352433]]
['NOV'],[[0.97097568]],[[1.73704881]],[[1.68556329]],[[1.62523719]],[[1.37928729]],[[0.43870344]],[[0.48098157]],[[0.86254368]],[[1.58281738]],[[1.8133866]],[[1.91172065]],[[1.27442416]],[[1.81650083]]
