['CD79B'],[[0.48537236]],[[0.24529829]],[[0.23661504]],[[0.25009887]],[[0.23906525]],[[0.65088838]],[[0.6539585]],[[0.65935634]],[[0.68477212]],[[0.51731967]],[[0.75876391]],[[0.88272417]],[[0.80534265]]
['CYB561'],[[0.7584773]],[[0.31133685]],[[0.33777663]],[[0.21286293]],[[0.30731086]],[[0.46403579]],[[0.59680242]],[[0.81534432]],[[0.73803266]],[[0.69240448]],[[1.05471586]],[[1.16456855]],[[0.91181356]]
['CD22'],[[0.52113979]],[[0.23651404]],[[0.26127827]],[[0.22277537]],[[0.15420625]],[[0.68819274]],[[0.78382797]],[[0.43023692]],[[0.49849946]],[[0.42076893]],[[0.58197806]],[[0.58970205]],[[0.85997023]]
['CD6'],[[0.62262379]],[[0.26879781]],[[0.23378697]],[[0.23746757]],[[0.24558739]],[[0.52157808]],[[0.61427063]],[[0.80392346]],[[0.70203922]],[[0.59217713]],[[0.92254298]],[[1.12231571]],[[0.9119048]]
['SAMD4A'],[[0.44384621]],[[0.23464195]],[[0.20078675]],[[0.36573373]],[[0.24656838]],[[0.4270052]],[[0.66490963]],[[0.67133093]],[[0.5861026]],[[0.50314481]],[[0.71424122]],[[0.90657685]],[[1.35298569]]
['PLEKHB1'],[[0.61755522]],[[0.29462959]],[[0.23953861]],[[0.21972397]],[[0.20667232]],[[0.47549425]],[[0.58483817]],[[0.74473111]],[[0.58068829]],[[0.78946605]],[[0.71445605]],[[0.9184437]],[[0.93193716]]
['IKZF2'],[[0.73020347]],[[0.30673298]],[[0.27508915]],[[0.27973091]],[[0.35373371]],[[0.33942033]],[[0.44259635]],[[0.55562003]],[[0.50989322]],[[0.64918407]],[[0.73464756]],[[0.93082863]],[[0.79933551]]
['CYP46A1'],[[1.22156648]],[[0]],[[0.99224474]],[[0]],[[0.2080925]],[[0]],[[0.68565182]],[[0.9037658]],[[0.74789936]],[[0.7580068]],[[2.01748208]],[[1.93862539]],[[0.92627585]]
['RTN4R'],[[0.39516842]],[[0.13835758]],[[0.17331775]],[[0.19681399]],[[0.31047153]],[[0.53902021]],[[0.3051192]],[[0.67861189]],[[0.58942519]],[[0.73886061]],[[0.79810759]],[[1.09876002]],[[0.90405636]]
['MCOLN3'],[[0.91685769]],[[0.36025627]],[[0]],[[0.14140593]],[[0.0369511]],[[0.71219746]],[[1.14851574]],[[0.5940986]],[[0.183528]],[[0.4615205]],[[0.67702687]],[[0.44978462]],[[1.20765582]]
['LZTS1'],[[0.3740652]],[[0]],[[0]],[[0.20293364]],[[0.27923106]],[[0.45887325]],[[0.21691745]],[[0.89445452]],[[0.49914114]],[[0.45271634]],[[0.69408903]],[[1.40790572]],[[0.56578645]]
['LTK'],[[0.99732212]],[[0.25127149]],[[0.13292542]],[[0.18668206]],[[0.63802456]],[[0.36862978]],[[0.39136534]],[[0.98884039]],[[0.95646889]],[[0.82817616]],[[1.56090554]],[[1.71222928]],[[1.06901812]]
['TLE2'],[[0.59636756]],[[0.19765482]],[[0.1284366]],[[0.2140266]],[[0.17752649]],[[0.61226814]],[[0.83784485]],[[0.89932222]],[[0.69861295]],[[0.61979764]],[[0.8589828]],[[1.03752416]],[[1.04952232]]
['FGFR2'],[[0.4799197]],[[0.2306261]],[[0]],[[0.58828182]],[[0.35342716]],[[0.20917672]],[[0.62370335]],[[2.23493481]],[[2.17924273]],[[0.20612988]],[[2.39012076]],[[2.92269313]],[[1.13782184]]
['NTN4'],[[0.99034873]],[[0.42941575]],[[0.52574719]],[[0.17103232]],[[0.67291168]],[[0.55393544]],[[0.18295451]],[[1.07537701]],[[0.63224623]],[[0.38645657]],[[1.46406091]],[[1.53025564]],[[0.26313164]]
['PAK3'],[[0.32620817]],[[0.53180998]],[[0.35912855]],[[0.40452148]],[[0.25171846]],[[0]],[[0.43047104]],[[0.80945278]],[[0.8472867]],[[0.25999218]],[[0.81008436]],[[1.039133]],[[1.02076003]]
['P2RY10'],[[0.51216062]],[[0.20071587]],[[0.22018097]],[[0.19546474]],[[0.24170416]],[[0.44561977]],[[0.64811142]],[[0.66334959]],[[0.62836019]],[[0.6966681]],[[0.82633525]],[[0.95655382]],[[0.83033031]]
['TCF7'],[[0.54397149]],[[0.25369524]],[[0.22368715]],[[0.24171904]],[[0.19324658]],[[0.57391851]],[[0.70603603]],[[0.72240067]],[[0.6119507]],[[0.61606347]],[[0.72540464]],[[0.8735107]],[[0.93138603]]
['COL19A1'],[[0.59497667]],[[0.2392994]],[[0.25720815]],[[0.16773703]],[[0.15837593]],[[0.65804387]],[[0.76158055]],[[0.40775812]],[[0.47845175]],[[0.42570139]],[[0.62004182]],[[0.57884711]],[[0.79747251]]
['LZTS3'],[[0.42038556]],[[0.33344212]],[[0.19071017]],[[0.14780582]],[[0.24150593]],[[0.73871831]],[[0.49120547]],[[0.63033803]],[[0.53781399]],[[0.54672745]],[[0.51230309]],[[0.75623517]],[[0.98994762]]
['FLT3LG'],[[0.37406518]],[[0.24577038]],[[0.0664109]],[[0.14780582]],[[0.13496073]],[[0.67971504]],[[0.7615805]],[[0.79930455]],[[0.67928092]],[[0.8661568]],[[0.85472022]],[[0.97691287]],[[1.08047782]]
['IL5RA'],[[0.45054627]],[[0.06398832]],[[0.10788441]],[[0.04903957]],[[0.08197752]],[[0.02336684]],[[0.43128209]],[[0.48106545]],[[0.69362057]],[[1.44245806]],[[0.56527971]],[[0.75131619]],[[0.95675015]]
['BLNK'],[[0.52091346]],[[0.23062615]],[[0.2770294]],[[0.24098989]],[[0.19726739]],[[0.77466736]],[[0.73640267]],[[0.56552516]],[[0.6021008]],[[0.50106761]],[[0.76310468]],[[0.79865462]],[[0.78451614]]
['SEZ6L'],[[0.25982448]],[[0.38754699]],[[0.25750907]],[[0.33994971]],[[0.21233634]],[[0.42946019]],[[0.4119733]],[[0.51776344]],[[0.36628255]],[[0.20612981]],[[0.6663024]],[[0.81031724]],[[0.84825633]]
['ASB2'],[[0.25510843]],[[0.14812127]],[[0.21003632]],[[0.13873619]],[[0.17786106]],[[0.17009374]],[[0.48293808]],[[0.5184071]],[[0.6930822]],[[0.98943373]],[[0.68758211]],[[0.85707859]],[[0.93974793]]
['TCL1A'],[[0.61063692]],[[0.24247224]],[[0.22250471]],[[0.20605656]],[[0.15309043]],[[0.71488379]],[[0.58660724]],[[0.40544852]],[[0.47753115]],[[0.38626357]],[[0.5574413]],[[0.60290135]],[[0.72707211]]
['EEF1A2'],[[0.43850517]],[[0]],[[0]],[[0]],[[0.07340931]],[[0]],[[0]],[[0.61398304]],[[0.26987668]],[[0.35214954]],[[0.54499368]],[[0.81958154]],[[0.44376105]]
['ISM1'],[[0.56984382]],[[0.19134401]],[[0.12424126]],[[0.33049947]],[[0.0687252]],[[0.25276598]],[[0.58285005]],[[0.57820667]],[[0.36546169]],[[0.39414118]],[[0.93871817]],[[0.96874813]],[[0.95701555]]
['SNTA1'],[[0.70616865]],[[0.31345679]],[[0.28669136]],[[0.29461172]],[[0.20925232]],[[0.55393544]],[[0.46318053]],[[0.83727429]],[[0.69369917]],[[0.51606613]],[[0.96798557]],[[1.22836313]],[[0.87997228]]
['VSIG1'],[[0.56607718]],[[0.292072]],[[0.18335003]],[[0.21776838]],[[0.17492054]],[[0.65726606]],[[0.81430639]],[[0.80153341]],[[0.62040234]],[[0.53105828]],[[0.77526905]],[[0.94493159]],[[0.95868127]]
['CD40LG'],[[0.55723511]],[[0.19849416]],[[0.24739702]],[[0.21493041]],[[0.21167134]],[[0.37992748]],[[0.66767979]],[[0.87460011]],[[0.64126958]],[[0.57296397]],[[0.86612255]],[[1.08624654]],[[0.85494571]]
['NDFIP2'],[[0.40833948]],[[0.31768729]],[[0.20939319]],[[0.08354657]],[[0.16916143]],[[0.28891893]],[[0.56592694]],[[0.60793963]],[[0.69126544]],[[0.62821065]],[[0.69220066]],[[0.83213908]],[[0.55961493]]
['PLLP'],[[0.79908626]],[[0.33344224]],[[0.15045545]],[[0.08804919]],[[0.16732354]],[[0.30339211]],[[0.34529727]],[[0.72386599]],[[0.55072257]],[[0.29910893]],[[0.56101822]],[[0.69955202]],[[0.43311084]]
['MMP15'],[[0.48916877]],[[0.19134416]],[[0.23862646]],[[0.5992202]],[[0.35539683]],[[0.32805423]],[[0.41345356]],[[0.74873176]],[[0.50003999]],[[0.91046338]],[[1.17484547]],[[1.39342354]],[[0.11350225]]
['SMPD3'],[[0.32137438]],[[0.01848229]],[[0.0117473]],[[0.02455124]],[[0.0461153]],[[0.03037364]],[[0.35981669]],[[0.41650372]],[[0.64237991]],[[1.62075582]],[[0.51879862]],[[0.76114714]],[[0.9139842]]
['PRSS33'],[[0.22515015]],[[0]],[[0]],[[0]],[[0.00476354]],[[0.00582658]],[[0.36070166]],[[0.47785785]],[[0.7554216]],[[1.7898854]],[[0.52281521]],[[0.77361766]],[[0.79219569]]
['IL21R'],[[0.41904423]],[[0.29284766]],[[0.20465382]],[[0.22032728]],[[0.22920601]],[[0.47243418]],[[0.71290876]],[[0.69625062]],[[0.60123322]],[[0.50600502]],[[0.78242066]],[[0.92993159]],[[0.90603074]]
['SYT17'],[[0.32303108]],[[0.18353169]],[[0.22903204]],[[0.31759961]],[[0.15772515]],[[0.4821818]],[[0.61265294]],[[0.44185571]],[[0.46155905]],[[0.475761]],[[0.67508443]],[[0.61432211]],[[1.24495977]]
['TUBB4A'],[[0.40183894]],[[0.09273121]],[[0.32490464]],[[0.28322746]],[[0.20875475]],[[0.50415118]],[[0.74257115]],[[0.65465949]],[[0.54735292]],[[0.74540704]],[[0.52853676]],[[0.94762452]],[[0.60144035]]
['TJP3'],[[0.44707352]],[[0.24987323]],[[0.20149658]],[[0.29056854]],[[0.23484907]],[[0.59515805]],[[0.56498093]],[[0.65624467]],[[0.50599545]],[[0.64661282]],[[0.68262024]],[[0.95635123]],[[1.22459866]]
['CD79A'],[[0.54138262]],[[0.2355928]],[[0.25000862]],[[0.24604599]],[[0.24362544]],[[0.69568059]],[[0.56663154]],[[0.56454937]],[[0.6550719]],[[0.43045435]],[[0.68964537]],[[0.80489269]],[[0.82003171]]
['LIM2'],[[0.91685778]],[[0.83191638]],[[0.57979714]],[[0]],[[0.42792673]],[[0]],[[0.38318085]],[[0.77149407]],[[0.87964612]],[[0]],[[0.89055043]],[[1.22391008]],[[0.74439635]]
['GATA3'],[[0.53392217]],[[0.24096776]],[[0.29120611]],[[0.23307045]],[[0.25756194]],[[0.42165503]],[[0.53259986]],[[0.59980928]],[[0.48055955]],[[0.59880149]],[[0.81962831]],[[0.97999827]],[[0.8468614]]
['INPP4B'],[[0.61406467]],[[0.23196605]],[[0.25361028]],[[0.2345332]],[[0.18899503]],[[0.55778774]],[[0.76323374]],[[0.7241244]],[[0.52095067]],[[0.57506796]],[[0.78743702]],[[0.91534094]],[[0.85379187]]
['C11orf63'],[[0.5800973]],[[0.32855342]],[[0.25654221]],[[0.3753132]],[[0.23084665]],[[0.67675024]],[[0.79750587]],[[0.64128346]],[[0.50077619]],[[0.605207]],[[0.73585977]],[[0.94179524]],[[0.70901082]]
['CD5'],[[0.5272127]],[[0.24821131]],[[0.20671504]],[[0.21185966]],[[0.21858097]],[[0.43168136]],[[0.58380962]],[[0.80235996]],[[0.65409795]],[[0.59680183]],[[0.87795273]],[[1.12076009]],[[0.90679168]]
['IL23A'],[[0.47453776]],[[0.31768734]],[[0.18757267]],[[0.08354656]],[[0.24037602]],[[0.50468434]],[[0.71409255]],[[0.76253304]],[[0.64450468]],[[0.59385124]],[[0.84948741]],[[0.84108315]],[[0.7613004]]
['CUX2'],[[1.14463846]],[[0.19134401]],[[0.44332802]],[[0.82566032]],[[0.28800593]],[[0.32805409]],[[0.35225958]],[[0.46492296]],[[0.38871645]],[[0.64661267]],[[0.88942135]],[[1.30732583]],[[0.98711366]]
['GNB3'],[[0.27670893]],[[0.53180991]],[[0.55688025]],[[0.21639262]],[[0.09032564]],[[0.5539354]],[[0.94645341]],[[0.41315852]],[[0.32915801]],[[0.61031482]],[[0.422047]],[[0.53548181]],[[0.89335397]]
['ADGRG6'],[[0.48343469]],[[0.2811768]],[[0]],[[0.30377144]],[[0.11710211]],[[0.42111076]],[[0.32396204]],[[0.33351304]],[[0.3318176]],[[0.41539075]],[[0.29750113]],[[0.42516947]],[[0.66893036]]
['CLIC5'],[[0.58263825]],[[0.11195893]],[[0.20602883]],[[0.15986622]],[[0.30678198]],[[0.29866679]],[[0.48400977]],[[0.63813106]],[[0.62070032]],[[0.51499709]],[[0.87232578]],[[0.90758743]],[[0.78395409]]
