['MMP25'],[[2.1718206]],[[2.6722145]],[[2.58886779]],[[2.66331767]],[[3.01139093]],[[2.34947731]],[[1.60110205]],[[2.22563086]],[[1.74313809]],[[1.72349002]],[[1.69153826]],[[1.76629042]],[[1.13397647]]
['ALOX5'],[[1.84020479]],[[2.44735716]],[[2.44021835]],[[2.55125562]],[[2.64983449]],[[2.28887582]],[[1.56973335]],[[1.88018263]],[[1.42301969]],[[1.61034601]],[[1.1926914]],[[1.36601847]],[[1.08746894]]
['VCAN'],[[0.75476963]],[[2.40878632]],[[2.46429751]],[[2.55616587]],[[2.24989379]],[[2.3218786]],[[1.92039771]],[[1.99755257]],[[1.42145416]],[[1.40285306]],[[1.06169371]],[[1.15108928]],[[1.06265403]]
['COL23A1'],[[0.67083949]],[[2.36744294]],[[1.21352586]],[[1.32789738]],[[1.65947624]],[[1.26558976]],[[2.21740791]],[[2.119468]],[[1.50603085]],[[0.94226056]],[[1.42042211]],[[1.37633073]],[[1.32227824]]
['PLXNA2'],[[2.1455172]],[[2.08796765]],[[2.10462411]],[[1.96318849]],[[2.38156617]],[[1.27390852]],[[1.0966289]],[[1.8107814]],[[1.59772397]],[[1.48175892]],[[1.46139142]],[[1.62019765]],[[1.07409234]]
['RPH3A'],[[1.67167486]],[[2.1441152]],[[1.93192359]],[[2.13695309]],[[4.27094211]],[[1.32899379]],[[1.73989537]],[[4.15969292]],[[3.7873966]],[[1.59468784]],[[2.90928858]],[[2.91866284]],[[1.53834752]]
['CMTM1'],[[1.68939781]],[[2.26006095]],[[2.11002609]],[[2.16079766]],[[2.17351701]],[[1.94168903]],[[1.74013341]],[[1.92102538]],[[1.49811439]],[[1.64258402]],[[1.05537167]],[[1.39297953]],[[0.99305893]]
['MAP3K20'],[[0.70824311]],[[1.86347273]],[[1.91568161]],[[2.00392792]],[[2.03266286]],[[1.98736379]],[[1.62545498]],[[1.89409377]],[[1.67767025]],[[1.425184]],[[1.08767919]],[[1.37040978]],[[0.92627594]]
['RAB36'],[[2.17739155]],[[2.24770418]],[[2.24297629]],[[2.22415776]],[[2.45644814]],[[1.74653828]],[[0.8673608]],[[1.76104177]],[[1.27732748]],[[1.39371984]],[[1.03275891]],[[1.36202882]],[[0.89281693]]
['TSPO'],[[1.23272924]],[[1.91134757]],[[1.84668637]],[[1.92335794]],[[2.08493049]],[[2.29682398]],[[1.46619842]],[[1.98524488]],[[1.47819742]],[[1.34977939]],[[1.08428462]],[[1.33519935]],[[1.11234172]]
['NCF4'],[[1.7914305]],[[2.18628523]],[[2.12820459]],[[2.20756583]],[[2.34195227]],[[2.02462514]],[[1.65215907]],[[1.97337476]],[[1.53093237]],[[1.70970098]],[[1.23921577]],[[1.44874237]],[[1.15249313]]
['TRIM9'],[[1.69650086]],[[1.90640609]],[[2.00537908]],[[2.15453898]],[[3.07196188]],[[2.68176612]],[[2.2875767]],[[2.80515133]],[[1.8276956]],[[1.75260554]],[[1.48125734]],[[1.84302363]],[[0.95846289]]
['NTSR1'],[[0.87638025]],[[2.38444719]],[[2.24011306]],[[2.04676606]],[[2.02574709]],[[2.49205336]],[[1.80953571]],[[2.10787265]],[[1.70115583]],[[1.97351395]],[[0.90081443]],[[1.18753187]],[[1.21665062]]
['USB1'],[[1.34353601]],[[2.23770423]],[[2.18603249]],[[2.30652971]],[[2.42133044]],[[2.30579908]],[[2.16303327]],[[2.10645276]],[[1.47893639]],[[1.35286484]],[[1.19923279]],[[1.4755327]],[[0.94317518]]
['AP3B2'],[[0.5300701]],[[1.11774328]],[[1.57461296]],[[1.43251116]],[[3.41397292]],[[4.00860697]],[[3.38275604]],[[4.58370479]],[[3.76328229]],[[1.25235832]],[[1.83299698]],[[2.00736175]],[[1.23299611]]
['PLIN3'],[[1.26890365]],[[2.08527132]],[[2.0360711]],[[2.10844652]],[[2.48105275]],[[1.99610365]],[[1.53313788]],[[2.05755687]],[[1.57798793]],[[1.38020037]],[[1.22274656]],[[1.47338816]],[[0.99154026]]
['SIGLEC5'],[[1.91320792]],[[2.14411556]],[[2.37445668]],[[2.57695231]],[[2.64943497]],[[1.8982064]],[[1.92019089]],[[2.35691524]],[[1.65898056]],[[1.60733066]],[[1.28808428]],[[1.59473374]],[[0.88629265]]
['LILRB5'],[[2.17160927]],[[2.80612853]],[[2.58459098]],[[2.67033521]],[[2.58007588]],[[2.64327363]],[[2.00364518]],[[2.54196997]],[[1.83464168]],[[2.04557374]],[[1.78900032]],[[2.03316413]],[[1.06344381]]
['BST1'],[[1.87060682]],[[2.18202131]],[[2.20480931]],[[2.28120381]],[[2.39569881]],[[2.12472104]],[[1.96272556]],[[2.23569602]],[[1.69669603]],[[1.55092324]],[[1.33350864]],[[1.45907643]],[[1.22446332]]
['CPEB4'],[[1.68314321]],[[2.29465773]],[[2.33863658]],[[2.30305514]],[[2.7389201]],[[1.86580439]],[[1.58492419]],[[2.06249811]],[[1.83774559]],[[1.54525695]],[[1.39270706]],[[1.60909169]],[[1.07631256]]
['UNC5A'],[[1.35275725]],[[2.93176043]],[[2.79403446]],[[2.39174126]],[[2.14024647]],[[2.38204907]],[[1.64593218]],[[1.82411882]],[[1.46317713]],[[2.03920358]],[[0.6032717]],[[1.18413895]],[[1.48580205]]
['STEAP3'],[[0.59636748]],[[1.94980953]],[[2.12164724]],[[2.22594854]],[[2.14228431]],[[1.29502728]],[[1.04221099]],[[1.2486178]],[[1.28889207]],[[0.94632471]],[[0.83131333]],[[0.9990107]],[[0.99689251]]
['TP53I3'],[[1.63742074]],[[2.55737078]],[[2.24279295]],[[2.76385963]],[[2.67801801]],[[2.09049102]],[[1.78938478]],[[2.0749061]],[[1.74929337]],[[1.56369125]],[[1.14099751]],[[1.38538755]],[[1.31900756]]
['QSOX1'],[[1.62706467]],[[2.19210319]],[[2.01253405]],[[2.10787291]],[[2.20622513]],[[1.74174355]],[[1.24761715]],[[1.78297346]],[[1.39648373]],[[1.33602734]],[[1.17615748]],[[1.29238917]],[[1.0422999]]
['PADI2'],[[1.84949553]],[[2.24493035]],[[2.23548523]],[[2.38673747]],[[2.65904791]],[[2.39310247]],[[1.87962057]],[[2.12407047]],[[1.73228264]],[[1.56261752]],[[1.41693581]],[[1.66019965]],[[1.1280061]]
['RAB32'],[[1.08746182]],[[2.07374946]],[[2.10502411]],[[2.08584785]],[[2.29437243]],[[1.93460794]],[[1.51716723]],[[2.03883686]],[[1.60505734]],[[1.57307831]],[[1.15760985]],[[1.32482142]],[[1.05435325]]
['FLVCR2'],[[0.95496648]],[[2.17015074]],[[2.14084165]],[[2.2276848]],[[2.3390645]],[[2.13071492]],[[1.95932451]],[[2.25146815]],[[1.78081674]],[[1.5578842]],[[1.10566819]],[[1.22775608]],[[1.23971931]]
['MMP19'],[[1.12697165]],[[2.21419482]],[[2.10352902]],[[2.19758815]],[[1.93905951]],[[2.7763276]],[[2.44937908]],[[2.38893426]],[[1.90312284]],[[1.82139436]],[[1.21207761]],[[1.27621921]],[[1.70084376]]
