['GCLC'],[[0.97882323]],[[0.81232827]],[[0.73655534]],[[0.93593982]],[[0.80574239]],[[0.82334865]],[[0.75219548]],[[1.26815298]],[[1.54395568]],[[1.27114357]],[[1.06032494]],[[1.13612857]],[[1.08702881]]
['PRKAR2B'],[[1.00460095]],[[0.88656339]],[[0.8861136]],[[1.33726735]],[[1.2749809]],[[1.18585973]],[[1.10197965]],[[2.14714478]],[[1.98430802]],[[1.28510882]],[[1.42325368]],[[1.32271271]],[[1.24190025]]
['MPO'],[[1.06749147]],[[1.30951567]],[[1.26564191]],[[1.56517296]],[[1.28390005]],[[1.28280892]],[[1.17690161]],[[2.02492135]],[[2.30131443]],[[1.59492246]],[[1.5156727]],[[2.12119735]],[[1.83685558]]
['E2F2'],[[0.93772332]],[[1.14509591]],[[1.09504164]],[[1.20836779]],[[1.05133047]],[[1.16487285]],[[1.0549934]],[[1.90225518]],[[1.97925466]],[[1.04785774]],[[1.21595676]],[[1.53776605]],[[1.51413221]]
['TSPAN9'],[[1.1177584]],[[1.07677176]],[[1.04163825]],[[1.52919637]],[[1.47206816]],[[1.23509475]],[[1.1372358]],[[2.60662497]],[[2.61939264]],[[1.36653393]],[[1.76426043]],[[1.71652693]],[[1.60179383]]
['EHD3'],[[1.00423487]],[[0.66575236]],[[0.65841232]],[[1.36040901]],[[1.20357219]],[[1.26398508]],[[1.01242009]],[[2.32233388]],[[2.26710583]],[[1.18304368]],[[1.59119384]],[[1.5705337]],[[1.53510528]]
['SLC25A39'],[[0.96433049]],[[0.91735264]],[[0.88849117]],[[1.39379311]],[[1.22014872]],[[1.14811811]],[[0.98780328]],[[2.11513864]],[[2.43499271]],[[1.48656845]],[[1.60643186]],[[2.0277276]],[[1.8969831]]
['HEBP1'],[[1.09611257]],[[0.97604064]],[[1.01144842]],[[1.55735697]],[[1.26193823]],[[1.34002946]],[[1.43311157]],[[2.17946328]],[[2.34691009]],[[1.55582026]],[[1.91750951]],[[1.92310006]],[[1.69293091]]
['FHL1'],[[0.87114379]],[[0.641661]],[[0.54065716]],[[0.963566]],[[0.92372577]],[[0.7090644]],[[0.81771033]],[[1.85087161]],[[1.9141103]],[[1.21949241]],[[1.27866598]],[[1.25871212]],[[1.17013457]]
['EHD2'],[[1.01282859]],[[1.05873674]],[[1.18547815]],[[1.67340043]],[[1.54509149]],[[1.13450605]],[[1.44166354]],[[2.6802196]],[[2.19546273]],[[1.53928492]],[[1.7602476]],[[1.67942174]],[[1.46786908]]
['MAP2K3'],[[0.94271978]],[[1.252157]],[[1.24890271]],[[1.59112963]],[[1.35504697]],[[1.35399132]],[[1.07741801]],[[1.88050184]],[[2.34732802]],[[1.69306682]],[[1.40975017]],[[1.63080147]],[[1.50682535]]
['RIPOR3'],[[1.22253534]],[[0.96767209]],[[1.07109912]],[[1.57991291]],[[1.4393591]],[[1.25511365]],[[1.10892327]],[[2.42228499]],[[2.45165822]],[[1.61899496]],[[1.56413785]],[[1.97450174]],[[1.86196415]]
['AP2S1'],[[0.90185476]],[[0.93178238]],[[0.96018285]],[[1.28226422]],[[1.14824161]],[[1.28662481]],[[1.3707755]],[[1.86655544]],[[1.94208628]],[[1.36812965]],[[1.34128076]],[[1.61725822]],[[1.39997365]]
['ARHGAP6'],[[0.98532677]],[[0.8982392]],[[0.83063833]],[[1.36766677]],[[1.30674109]],[[1.20427779]],[[1.12292427]],[[2.26500988]],[[2.0942501]],[[1.40003283]],[[1.65683136]],[[1.58588174]],[[1.4896033]]
['LTBP1'],[[0.93964842]],[[0.81288095]],[[0.8938852]],[[1.41242402]],[[1.3309594]],[[1.2174034]],[[1.11998136]],[[2.40158581]],[[2.24904871]],[[1.24598723]],[[1.6729819]],[[1.57705214]],[[1.52243819]]
['NEDD4L'],[[0.95259606]],[[0.92177359]],[[0.93688071]],[[1.32719246]],[[1.06401724]],[[1.12406988]],[[1.23439732]],[[2.04439823]],[[2.11874168]],[[1.31465299]],[[1.32379594]],[[1.57340202]],[[1.54222288]]
['PTPRN'],[[1.51129646]],[[1.23504285]],[[0.84518273]],[[2.74766412]],[[2.29761973]],[[1.21925206]],[[1.80858867]],[[4.25566931]],[[4.07394196]],[[1.86707501]],[[3.37438668]],[[3.4632065]],[[3.51182845]]
['KCNH2'],[[1.22813303]],[[0.82363138]],[[0.58473151]],[[1.18343546]],[[0.95535531]],[[0.89488545]],[[1.31404217]],[[2.49746828]],[[3.27737066]],[[1.31921172]],[[1.57771095]],[[2.04995017]],[[1.95589763]]
['PITHD1'],[[0.87656841]],[[0.89422095]],[[0.81804381]],[[0.94839269]],[[0.83756304]],[[0.8916057]],[[0.75959037]],[[1.526776]],[[1.80650424]],[[1.44522095]],[[1.05412568]],[[1.26981258]],[[1.21022074]]
