['MSL3'],[[1.05982216]],[[2.50908422]],[[2.58641835]],[[2.78933854]],[[2.56916168]],[[2.21538687]],[[1.45272269]],[[1.51659765]],[[0.99804149]],[[1.06164655]],[[0.87450223]],[[1.07576507]],[[0.8695651]]
['GAS7'],[[1.11221498]],[[2.21516235]],[[2.51696904]],[[3.0215938]],[[2.87509934]],[[2.71943595]],[[2.14667981]],[[2.05122903]],[[1.4362777]],[[1.51956642]],[[1.0788523]],[[1.31377705]],[[1.1735641]]
['SERPINB1'],[[1.04231955]],[[2.97499744]],[[3.05571435]],[[3.27766428]],[[3.16724939]],[[2.47928675]],[[1.98175968]],[[1.95983524]],[[1.33233063]],[[1.38132994]],[[1.08971333]],[[1.33201738]],[[1.09418762]]
['IFNGR1'],[[1.152891]],[[2.4376901]],[[2.45261778]],[[2.74007961]],[[2.66081062]],[[2.21928218]],[[1.72102082]],[[1.66183277]],[[1.21243166]],[[1.34861267]],[[1.02358962]],[[1.20280908]],[[1.00645699]]
['KIF1B'],[[1.11438332]],[[2.742969]],[[2.85531804]],[[3.24192615]],[[3.00071528]],[[2.56134055]],[[1.88596335]],[[1.93195755]],[[1.36045664]],[[1.23508345]],[[1.2278506]],[[1.4022989]],[[1.1706661]]
['ATP9A'],[[0.96651798]],[[2.54395592]],[[2.74249452]],[[3.62744688]],[[3.61292155]],[[2.82625051]],[[1.57075991]],[[2.2883685]],[[2.00054339]],[[1.11599174]],[[1.66843752]],[[1.81454256]],[[1.58557124]]
['SLC2A3'],[[1.11269419]],[[3.26283557]],[[3.23043759]],[[3.62233374]],[[3.34125135]],[[2.78203697]],[[2.18299393]],[[2.30552024]],[[1.59849892]],[[1.49170243]],[[1.43678965]],[[1.65325368]],[[1.37270089]]
['BCAT1'],[[1.00816207]],[[2.24760011]],[[2.45844896]],[[2.15586689]],[[2.20928741]],[[3.40814837]],[[2.05053392]],[[1.51909359]],[[1.11235687]],[[1.33093454]],[[0.8348382]],[[0.75495619]],[[0.71378937]]
['DGAT2'],[[1.16986753]],[[2.76415149]],[[2.82185148]],[[3.04217372]],[[2.86158263]],[[2.4216553]],[[1.89344228]],[[1.90381169]],[[1.46891815]],[[1.43200423]],[[1.27053941]],[[1.49258545]],[[1.17325361]]
['SBNO2'],[[1.0012198]],[[2.97808373]],[[2.96932507]],[[3.22837156]],[[2.91647904]],[[2.15275484]],[[1.86929751]],[[1.9821043]],[[1.53576377]],[[1.54764246]],[[1.28954306]],[[1.56664443]],[[1.29346349]]
['MEF2A'],[[0.99976191]],[[2.16030756]],[[2.35011585]],[[2.74238954]],[[2.54422465]],[[2.1954749]],[[1.65024611]],[[1.68412549]],[[1.21876272]],[[1.06283053]],[[1.04276454]],[[1.24164269]],[[1.01450554]]
['ACSL4'],[[1.0947529]],[[2.93101923]],[[3.16132598]],[[3.45101268]],[[3.23298875]],[[2.29083465]],[[1.73594205]],[[1.62069624]],[[1.16692776]],[[1.33456755]],[[1.11364911]],[[1.30852551]],[[1.12400169]]
['BCL3'],[[0.88865361]],[[3.16461275]],[[3.04632434]],[[3.40281391]],[[3.15914802]],[[1.89184332]],[[1.76994695]],[[1.91568375]],[[1.40591906]],[[1.57987076]],[[1.28102802]],[[1.54617303]],[[1.25645855]]
['TMEM260'],[[1.03282432]],[[2.27015217]],[[2.46823306]],[[2.70682645]],[[2.48942809]],[[1.89681269]],[[1.33546148]],[[1.37895792]],[[1.00363799]],[[0.96474395]],[[0.90478481]],[[1.08933734]],[[0.90066157]]
['MRVI1'],[[1.01725179]],[[2.42799285]],[[2.47136721]],[[2.71185122]],[[2.51199676]],[[2.73658233]],[[2.05858553]],[[1.71017391]],[[1.16439071]],[[1.23593005]],[[1.14726259]],[[1.25323779]],[[0.99824979]]
['DHRS9'],[[1.10332101]],[[2.62805308]],[[2.55702556]],[[2.82103083]],[[2.82241945]],[[1.55510012]],[[0.8214477]],[[1.15265081]],[[0.85914668]],[[0.94143836]],[[0.76801517]],[[1.00609521]],[[0.94917207]]
['IL4R'],[[1.03404917]],[[2.95437579]],[[3.09119235]],[[3.12459127]],[[2.91566165]],[[2.65438335]],[[1.92268714]],[[1.53233769]],[[1.08921282]],[[1.14504218]],[[0.89945106]],[[1.13946168]],[[0.89096985]]
['CST7'],[[1.32899886]],[[2.73356927]],[[2.82904333]],[[3.09706001]],[[3.1507735]],[[3.14969546]],[[2.34352634]],[[2.37161596]],[[1.71930225]],[[1.19808986]],[[1.3117452]],[[1.7602539]],[[1.37239852]]
['SMAP2'],[[1.14116791]],[[2.63304832]],[[2.6499168]],[[3.09532036]],[[2.91750014]],[[2.28203069]],[[1.41497822]],[[1.60455462]],[[1.20343053]],[[1.35586387]],[[1.12609408]],[[1.3379101]],[[1.14785534]]
['CD59'],[[0.99243273]],[[2.44389977]],[[2.6714367]],[[3.09481208]],[[3.11315155]],[[2.18333597]],[[1.51520487]],[[1.59017326]],[[1.29011674]],[[1.02070261]],[[0.99256064]],[[1.29227891]],[[1.0368935]]
['NME8'],[[1.14442658]],[[2.2590621]],[[2.16523751]],[[2.54188098]],[[2.36506841]],[[2.22502343]],[[1.14041773]],[[1.25232461]],[[0.82452081]],[[0.93195458]],[[0.8981227]],[[1.0481842]],[[0.83916383]]
['PGS1'],[[1.01563031]],[[3.38284171]],[[3.38727456]],[[3.52875886]],[[3.20586895]],[[2.38367153]],[[1.8546324]],[[1.79137585]],[[1.3098277]],[[1.34146098]],[[1.03251794]],[[1.33393537]],[[1.05762812]]
['GRAMD1A'],[[1.03821196]],[[2.32074101]],[[2.41883846]],[[3.12961287]],[[2.87476709]],[[2.67555927]],[[1.82187465]],[[1.84445852]],[[1.37405855]],[[1.28906404]],[[1.23779465]],[[1.52903736]],[[1.24715079]]
['NLRC4'],[[0.88496855]],[[2.25900815]],[[2.38973306]],[[2.79120925]],[[2.64748421]],[[2.64538406]],[[2.01158563]],[[1.9967406]],[[1.33942942]],[[1.37959679]],[[0.97618162]],[[1.11873588]],[[0.93631667]]
