['PDK4'],[[0.89686363]],[[1.03526582]],[[1.19787041]],[[1.17771877]],[[1.04147681]],[[1.80013762]],[[1.51011229]],[[1.43138787]],[[1.1715616]],[[0.84410698]],[[0.81871366]],[[0.78496485]],[[0.80820314]]
['FAM214B'],[[0.96918044]],[[1.79902379]],[[1.79750827]],[[1.94626523]],[[1.771376]],[[1.71985602]],[[1.32839353]],[[1.75093428]],[[1.63056398]],[[1.26914882]],[[1.18357435]],[[1.42556991]],[[1.27043804]]
['MGST1'],[[0.98114543]],[[1.70030029]],[[1.74826091]],[[1.86100915]],[[1.67857114]],[[2.23729838]],[[2.12986234]],[[1.93030955]],[[1.42230219]],[[1.54165472]],[[0.91340857]],[[1.0556983]],[[0.92749206]]
['STAB1'],[[0.88267591]],[[1.74244298]],[[1.92675341]],[[2.05075688]],[[1.77889053]],[[2.90966539]],[[2.30129734]],[[2.58853578]],[[2.10607544]],[[1.94370776]],[[1.48404811]],[[1.52412676]],[[1.37421687]]
['SLC6A13'],[[1.82564676]],[[1.01107518]],[[1.37461361]],[[2.22088302]],[[2.19320362]],[[1.99587687]],[[2.19399443]],[[2.64198896]],[[2.12123582]],[[1.04206219]],[[1.74388632]],[[1.81776779]],[[1.41185912]]
['ACPP'],[[0.97536328]],[[1.57398851]],[[1.60372394]],[[1.61899144]],[[1.38402568]],[[2.08190182]],[[1.75785496]],[[1.62564474]],[[1.16142806]],[[1.39617419]],[[0.98043843]],[[1.09362376]],[[1.00417292]]
['MARCO'],[[0.82313843]],[[1.53215454]],[[1.59226394]],[[1.85089708]],[[1.77333665]],[[2.90944173]],[[2.71123208]],[[2.59602299]],[[1.90617074]],[[2.33127485]],[[1.16078132]],[[1.31992047]],[[1.2981153]]
['VIM'],[[0.98135334]],[[1.4676102]],[[1.51749785]],[[1.78413951]],[[1.62018693]],[[1.92519456]],[[1.86952613]],[[1.87206879]],[[1.31119703]],[[1.35302179]],[[0.97448941]],[[1.20867897]],[[1.04501886]]
['GABARAPL2'],[[0.92570841]],[[1.2706496]],[[1.29913171]],[[1.61142735]],[[1.4270413]],[[1.30855992]],[[1.08226369]],[[1.69564057]],[[1.9873327]],[[1.38479379]],[[1.28127673]],[[1.33895591]],[[1.23540531]]
['VCL'],[[0.98944063]],[[1.10541305]],[[1.079395]],[[1.6712634]],[[1.58378486]],[[1.20507963]],[[1.13738591]],[[2.18224831]],[[2.06490893]],[[1.21873397]],[[1.49846722]],[[1.44960808]],[[1.32690826]]
['TG'],[[1.14205576]],[[1.19850603]],[[1.3746136]],[[2.62932559]],[[2.22562188]],[[2.19095893]],[[2.73529337]],[[2.93993455]],[[2.30542859]],[[1.47740243]],[[1.34743314]],[[1.62193273]],[[1.29730289]]
['HOMER3'],[[0.91592242]],[[1.62631618]],[[1.62487517]],[[1.75442465]],[[1.57635009]],[[1.87047111]],[[1.58611404]],[[1.83122655]],[[1.48755991]],[[1.62434997]],[[1.11052629]],[[1.20294687]],[[1.00551942]]
['SPA17'],[[0.67939209]],[[0.80292595]],[[0.56354413]],[[0.96124351]],[[0.76091611]],[[0.94843778]],[[1.23803375]],[[1.27073951]],[[0.92429819]],[[1.31198925]],[[0.75513644]],[[0.93543573]],[[0.58682646]]
['CTSA'],[[0.97479175]],[[1.42748308]],[[1.40391412]],[[1.68539644]],[[1.52084261]],[[1.54624953]],[[1.52229136]],[[2.18906438]],[[2.09804762]],[[1.57965021]],[[1.40825103]],[[1.44555721]],[[1.2900163]]
['TFE3'],[[0.95616303]],[[1.75295429]],[[1.74931257]],[[2.15024475]],[[1.92957828]],[[1.83946647]],[[1.60537533]],[[1.87305935]],[[1.61122459]],[[1.45808951]],[[1.26732727]],[[1.49298647]],[[1.27818768]]
['FSTL3'],[[0.78087025]],[[1.3424117]],[[1.13013657]],[[1.43646583]],[[1.10634218]],[[1.37071221]],[[1.44845041]],[[1.67257477]],[[1.41645019]],[[1.42841509]],[[1.08590378]],[[1.09034837]],[[0.95276907]]
