['TEAD3'],[[3.11768177]],[[5.60784553]],[[5.67425057]],[[5.25573104]],[[5.47123437]],[[4.48943867]],[[2.39663825]],[[2.26586822]],[[2.08546373]],[[2.39127976]],[[1.51374345]],[[2.0876915]],[[2.43298617]]
['HGF'],[[1.99650218]],[[3.0651563]],[[3.03939166]],[[3.06907396]],[[2.8995687]],[[1.34295174]],[[1.65592899]],[[1.22034183]],[[0.95047533]],[[0.9489991]],[[0.71056338]],[[0.80068627]],[[0.71522523]]
['IDI1'],[[2.22356102]],[[3.71491069]],[[3.7498902]],[[3.694027]],[[3.66247862]],[[2.29258169]],[[1.78294343]],[[1.39043929]],[[1.14594824]],[[1.26248085]],[[1.13854218]],[[1.30200455]],[[1.06503838]]
['MKNK1'],[[2.26308681]],[[3.37177025]],[[3.42533586]],[[3.36099129]],[[3.31569865]],[[2.68226556]],[[2.21499565]],[[1.91585629]],[[1.28304273]],[[1.42052496]],[[1.12312332]],[[1.44889357]],[[1.11343383]]
['CEACAM1'],[[1.5520707]],[[3.18589191]],[[3.17037337]],[[3.15759378]],[[3.16735532]],[[1.46599939]],[[1.42554444]],[[1.04880128]],[[0.78991472]],[[1.13158989]],[[0.80293599]],[[0.9613556]],[[0.85727446]]
['OSM'],[[1.52387518]],[[4.12827935]],[[4.29322586]],[[4.15136624]],[[3.93007831]],[[2.69022376]],[[2.29165955]],[[2.33759677]],[[1.17974772]],[[1.49182597]],[[1.05859293]],[[1.47464436]],[[1.11668155]]
['RETN'],[[1.11990152]],[[2.16998867]],[[2.54659985]],[[2.7085455]],[[3.99897559]],[[3.47703128]],[[2.95495904]],[[1.77424105]],[[2.04932366]],[[2.22252186]],[[1.14615219]],[[1.77103782]],[[1.46495658]]
['TTC26'],[[2.11656263]],[[2.99589365]],[[2.86158139]],[[2.85813681]],[[2.5477766]],[[0.9241873]],[[0.81138339]],[[0.6481298]],[[0.50044324]],[[0.59866481]],[[0.38595997]],[[0.64276661]],[[0.46915213]]
['GRB10'],[[2.25658567]],[[3.81513305]],[[3.84287039]],[[3.78050115]],[[4.17753928]],[[2.53657168]],[[2.79916222]],[[2.36784123]],[[2.05919908]],[[2.02417495]],[[1.42137194]],[[1.65442099]],[[1.29294728]]
['KLHL2'],[[2.09450053]],[[3.1430288]],[[3.12672969]],[[3.11534045]],[[3.18546301]],[[2.47439267]],[[2.29331556]],[[1.94049225]],[[1.2517433]],[[1.35980447]],[[1.00180533]],[[1.19073377]],[[0.95588902]]
['MS4A4A'],[[0.35248042]],[[1.51344087]],[[1.50403297]],[[1.62057978]],[[2.06523665]],[[1.81735879]],[[1.98167529]],[[1.69569643]],[[1.20144653]],[[0.95550087]],[[0.51535585]],[[0.54211627]],[[0.52797892]]
['HRH2'],[[1.6515731]],[[3.44451199]],[[3.47092427]],[[3.42462515]],[[3.30253031]],[[2.62766465]],[[2.13165162]],[[2.0061184]],[[1.38687696]],[[1.49093281]],[[1.13068517]],[[1.38914482]],[[1.13141881]]
['GCA'],[[1.80882246]],[[3.03453514]],[[3.08692601]],[[3.11940949]],[[3.25647866]],[[2.30185506]],[[2.09942673]],[[1.74100973]],[[1.1501488]],[[1.35723441]],[[1.00175568]],[[1.23011494]],[[0.99803762]]
['SIPA1L2'],[[2.35508647]],[[3.69606136]],[[3.72389924]],[[3.64227447]],[[3.53364687]],[[1.45379143]],[[1.54718529]],[[1.44362214]],[[1.03475301]],[[1.30184574]],[[0.90273945]],[[1.10683225]],[[0.94345206]]
['CYSTM1'],[[2.11110042]],[[3.34541835]],[[3.47525031]],[[3.53247348]],[[3.67907139]],[[3.35955345]],[[2.81489451]],[[2.65766854]],[[1.82389821]],[[2.12610665]],[[1.36032971]],[[1.69184794]],[[1.2016743]]
['FLT3'],[[1.14896553]],[[3.31307367]],[[3.43460234]],[[3.41679046]],[[3.19334798]],[[1.28661478]],[[1.30427849]],[[1.18011042]],[[1.33088964]],[[1.44746012]],[[1.35620671]],[[1.56409734]],[[1.16116758]]
['C17orf53'],[[3.67535051]],[[4.95317986]],[[4.81649233]],[[4.99222014]],[[4.99369326]],[[1.53991159]],[[1.54576393]],[[1.44055196]],[[1.64807851]],[[2.34103146]],[[1.39660713]],[[1.8423461]],[[1.73758908]]
['PPARG'],[[0.32883332]],[[4.12693343]],[[3.6781771]],[[4.45327287]],[[3.64294411]],[[4.32751983]],[[3.78630788]],[[3.25870519]],[[1.98182428]],[[2.16037328]],[[0.68809904]],[[1.31872129]],[[1.23001219]]
['SORT1'],[[2.17820553]],[[3.82112035]],[[3.85409276]],[[3.90065695]],[[3.518156]],[[1.70833052]],[[1.5780454]],[[1.46206008]],[[1.25531297]],[[1.31180292]],[[0.95218378]],[[1.03513549]],[[0.9220317]]
['CYP1B1'],[[0.78225541]],[[2.67463732]],[[2.82296223]],[[3.08346844]],[[2.91912063]],[[2.75915651]],[[2.61761145]],[[1.9965517]],[[1.44201577]],[[1.58601207]],[[0.93386494]],[[1.06037081]],[[1.04869013]]
['ANXA3'],[[2.06666739]],[[4.04721312]],[[4.15057395]],[[4.25890989]],[[4.65853207]],[[3.88678982]],[[3.39219012]],[[2.92643801]],[[1.70286309]],[[1.54590439]],[[1.06027732]],[[1.53868082]],[[1.02758993]]
['GPR84'],[[1.73432934]],[[4.8279519]],[[5.3513482]],[[5.42754045]],[[5.69246674]],[[4.58375408]],[[4.80486706]],[[4.24855295]],[[2.16782526]],[[2.61654409]],[[1.80183474]],[[1.97034147]],[[1.58850707]]
['BCL2A1'],[[2.37624457]],[[3.78889761]],[[3.81694339]],[[3.77977737]],[[3.61360514]],[[2.6247724]],[[2.12899799]],[[1.69696746]],[[0.79459986]],[[1.13248144]],[[0.83508067]],[[1.08004222]],[[0.86659447]]
['MYLK3'],[[0.71368992]],[[4.35693937]],[[4.21584917]],[[4.00536502]],[[3.8224786]],[[2.13038307]],[[0.91739151]],[[1.53839813]],[[1.03517915]],[[0.7573722]],[[0.5474337]],[[0.99420642]],[[0.72541864]]
['SLC22A14'],[[1.48128939]],[[2.2090587]],[[2.19409983]],[[1.64434675]],[[2.41619726]],[[2.03566637]],[[1.99494975]],[[1.22237383]],[[0.91601577]],[[1.13225401]],[[0.7031881]],[[1.02806127]],[[0.64432493]]
['UGCG'],[[1.09869559]],[[3.19174989]],[[3.2674521]],[[3.27715474]],[[3.18297037]],[[2.33926556]],[[1.7114629]],[[1.22555323]],[[0.80590108]],[[1.08010636]],[[0.86855888]],[[1.05775113]],[[0.90661879]]
['VSIG4'],[[0.9107257]],[[2.9528979]],[[3.1950076]],[[3.46222051]],[[3.21962649]],[[3.65399904]],[[1.67785804]],[[1.66565195]],[[1.43174948]],[[1.31748008]],[[1.15072414]],[[1.3731612]],[[1.06901206]]
