['MEOX1'],[[0.65608573]],[[0.25703568]],[[0.39453554]],[[0.27209808]],[[0.44533121]],[[0.20293805]],[[0.50700173]],[[0.39011071]],[[0.75573404]],[[0.89497314]],[[1.38660438]],[[1.39037231]],[[1.71520656]]
['ITGA3'],[[1.1450458]],[[0.41763051]],[[0.37104147]],[[0.15272011]],[[0.32528255]],[[0.60410614]],[[0.94431434]],[[0.82786439]],[[1.10990339]],[[1.08762963]],[[1.04485822]],[[1.37821293]],[[1.13116639]]
['IL32'],[[1.10821114]],[[0.33024362]],[[0.30266599]],[[0.27292006]],[[0.33212934]],[[0.46835872]],[[0.58026152]],[[0.64965483]],[[0.81174624]],[[0.92873684]],[[0.79435639]],[[0.99775779]],[[0.82605534]]
['SLC18A1'],[[2.55932341]],[[1.41016546]],[[0.91925507]],[[0.91237501]],[[1.34307426]],[[2.07368362]],[[2.1951261]],[[1.03961534]],[[1.87187393]],[[2.69594758]],[[2.47663279]],[[2.57123981]],[[2.59579867]]
['MYO16'],[[1.10088906]],[[0.3354128]],[[0.45965849]],[[0.24575604]],[[0.21633734]],[[0.34514906]],[[0.38008051]],[[0.63749041]],[[0.87972479]],[[1.01824832]],[[1.36463693]],[[1.6303968]],[[0.97762641]]
['FOXP3'],[[0.86734708]],[[0.2742804]],[[0.33645635]],[[0.15241499]],[[0.35052735]],[[0.29835319]],[[0.5530581]],[[0.60623709]],[[0.77029658]],[[0.90430257]],[[0.98409287]],[[1.28109154]],[[1.27086245]]
['RASGRF1'],[[0.90311534]],[[1.41016546]],[[0.77645007]],[[1.04164228]],[[0]],[[0.32971847]],[[1.28197638]],[[1.30914781]],[[1.74022281]],[[1.55991788]],[[1.26348876]],[[1.25263222]],[[1.07760456]]
['GPC1'],[[1.17309658]],[[0.1731448]],[[0.1853569]],[[0.74723296]],[[0.43794392]],[[0.75813152]],[[0.28719381]],[[0.79148489]],[[1.15557294]],[[0.72744273]],[[0.9521422]],[[1.07921903]],[[1.04151472]]
['CDON'],[[1.00715056]],[[0.23585961]],[[0.32724014]],[[0.32428111]],[[0.07709224]],[[0.54449971]],[[0.86245139]],[[0.9579673]],[[0.87658503]],[[1.09136187]],[[0.87592706]],[[1.19452153]],[[1.0291077]]
['LMCD1'],[[2.20958331]],[[1.07390089]],[[0.67273543]],[[0.66729675]],[[0]],[[0.89211396]],[[0.96678433]],[[1.46438913]],[[1.0454645]],[[1.39157113]],[[1.97796257]],[[1.76416888]],[[1.32659196]]
['SPEG'],[[0.88434827]],[[0.4346985]],[[0.57150749]],[[0.65101568]],[[0.30201556]],[[0.43310718]],[[0.80901427]],[[0.79558136]],[[1.05295735]],[[1.04971992]],[[0.68502178]],[[0.93494041]],[[0.8535472]]
['CELSR1'],[[1.01588944]],[[0.4788464]],[[0.4283847]],[[0.43726685]],[[0.43245935]],[[0.43519122]],[[0.55037926]],[[0.67188901]],[[1.00254686]],[[0.97469466]],[[0.71871403]],[[0.75593418]],[[0.57442568]]
['ITM2A'],[[0.90812982]],[[0.32185639]],[[0.35456989]],[[0.28809207]],[[0.36889798]],[[0.39769545]],[[0.60767319]],[[0.70042284]],[[0.83739157]],[[0.91400804]],[[0.60239097]],[[0.7958958]],[[0.74115213]]
['EPB41L2'],[[0.9031152]],[[0.40199538]],[[0.44566247]],[[0.30267373]],[[0.33893434]],[[0.64241465]],[[0.57859328]],[[0.70788496]],[[0.79629576]],[[0.73395745]],[[0.89462144]],[[1.0873507]],[[0.97895807]]
['MID2'],[[1.07558828]],[[0.41638239]],[[0.42586154]],[[0.49021285]],[[0.52316428]],[[0.35916178]],[[0.46562563]],[[0.88174803]],[[1.01791036]],[[1.23376158]],[[1.00640031]],[[1.1592809]],[[1.14477342]]
['IGSF9B'],[[0.93168945]],[[0.19889425]],[[0.32163467]],[[0.31872091]],[[0.3158344]],[[0.39935243]],[[0.51460565]],[[0.76494347]],[[0.94746806]],[[0.75728469]],[[1.14244135]],[[1.31010101]],[[1.2535635]]
['COL4A4'],[[0.93801827]],[[0.31868973]],[[0.39251545]],[[0.26446454]],[[0.23298251]],[[0.35788292]],[[0.38008052]],[[0.67980441]],[[0.94412886]],[[0.94809361]],[[0.55995606]],[[0.70699369]],[[0.55293906]]
['C3orf18'],[[0.93656852]],[[0.38566421]],[[0.32724019]],[[0.30709558]],[[0.38952906]],[[0.47341161]],[[0.53122549]],[[0.6968733]],[[0.64460418]],[[0.74448887]],[[0.94722717]],[[1.11629422]],[[1.02570375]]
['SIRPG'],[[0.96019763]],[[0.29037997]],[[0.26066498]],[[0.26652835]],[[0.21633734]],[[0.31644247]],[[0.54921089]],[[0.76874439]],[[0.9603671]],[[1.01486279]],[[0.78042032]],[[0.95899915]],[[0.87391657]]
