['CFLAR'],[[1.03441706]],[[2.04367008]],[[2.2928558]],[[2.23053568]],[[2.14455489]],[[1.77019238]],[[1.50095839]],[[1.23806943]],[[1.18008978]],[[1.06630404]],[[0.84003819]],[[1.02534307]],[[0.84546046]]
['SKAP2'],[[1.03214124]],[[1.93530186]],[[1.94806015]],[[1.89144777]],[[2.05446825]],[[1.70046036]],[[1.31203148]],[[1.22251729]],[[1.17040221]],[[1.11409492]],[[0.93067775]],[[1.05861791]],[[0.89906666]]
['ABHD5'],[[1.10911004]],[[2.0725575]],[[2.22162886]],[[2.2486672]],[[2.20585834]],[[1.30459143]],[[1.09407457]],[[1.00423802]],[[0.97975789]],[[1.09196107]],[[0.77755288]],[[0.91527073]],[[0.77344652]]
['GAB2'],[[1.09502595]],[[2.13282456]],[[2.28321945]],[[2.20831572]],[[1.98548038]],[[1.56325359]],[[1.36657258]],[[1.2158374]],[[1.23455042]],[[1.21267634]],[[0.90559687]],[[1.01992336]],[[0.86898492]]
['ZFYVE16'],[[0.98890363]],[[1.79982777]],[[1.76632791]],[[1.75074937]],[[1.96281285]],[[1.71797251]],[[1.33251407]],[[1.03606229]],[[0.99427093]],[[0.99970057]],[[0.82651174]],[[0.97064222]],[[0.8117357]]
['FAM184B'],[[0.65004501]],[[1.63818782]],[[2.56807516]],[[2.24719185]],[[2.16078643]],[[2.04574297]],[[1.24922738]],[[1.06293539]],[[0.84913985]],[[1.37958752]],[[1.05755395]],[[1.2847795]],[[1.18626076]]
['FAM160A2'],[[1.35918014]],[[2.06247946]],[[2.18667058]],[[2.21112188]],[[2.18582816]],[[1.7020226]],[[1.48593932]],[[1.22481249]],[[1.28311395]],[[1.25382215]],[[0.97354519]],[[1.08912483]],[[0.94545386]]
['EIF2AK2'],[[1.05370481]],[[2.3188972]],[[2.39043793]],[[2.26821589]],[[2.53371634]],[[1.7335433]],[[1.06824472]],[[0.83590184]],[[0.86481868]],[[0.93279467]],[[0.84575099]],[[1.16001451]],[[0.96378434]]
['TMCC3'],[[1.1377711]],[[2.11467625]],[[2.21521243]],[[2.18845882]],[[2.07824056]],[[1.49647166]],[[1.22477279]],[[1.06925681]],[[0.996887]],[[1.15629479]],[[0.90976382]],[[1.05539461]],[[0.9043934]]
['ATP11B'],[[1.06689617]],[[2.08416177]],[[2.04080855]],[[1.99090244]],[[2.21183836]],[[1.99851333]],[[1.25963058]],[[1.06702428]],[[1.06934019]],[[0.96316135]],[[0.92906185]],[[1.06936311]],[[0.89872797]]
['CDK14'],[[1.18530826]],[[1.95850883]],[[1.93947885]],[[1.83045313]],[[1.8353614]],[[1.59206002]],[[1.39919682]],[[1.20179629]],[[1.3182386]],[[1.26924]],[[0.90759951]],[[1.07297117]],[[0.91566624]]
