['FGR'],[[1.06218909]],[[1.12642334]],[[1.11578368]],[[1.23754477]],[[1.59787468]],[[1.7259599]],[[1.70796745]],[[1.39946097]],[[0.96274823]],[[1.21881816]],[[0.84527637]],[[1.1281363]],[[0.88784245]]
['LAMP2'],[[1.16011604]],[[1.45613096]],[[1.43469333]],[[1.43254404]],[[1.93590448]],[[1.36861005]],[[1.51206271]],[[1.49017819]],[[1.08509236]],[[1.35383316]],[[1.01482856]],[[1.15547336]],[[1.07353245]]
['KDM7A'],[[1.07647953]],[[1.28052929]],[[1.28629531]],[[1.3564951]],[[1.76459944]],[[1.37174107]],[[1.27637715]],[[1.40261309]],[[1.19018191]],[[1.2493032]],[[1.12320609]],[[1.18192433]],[[1.11639125]]
['IFRD1'],[[1.27302133]],[[1.48477241]],[[1.46107985]],[[1.55179313]],[[1.77938252]],[[1.40993176]],[[1.36505777]],[[1.38999605]],[[1.07642027]],[[1.24939422]],[[1.04809969]],[[1.29943959]],[[1.09916422]]
['CDKL5'],[[1.16145047]],[[1.28015666]],[[1.39789693]],[[1.55047931]],[[1.81958455]],[[1.54196627]],[[1.3968171]],[[1.41960207]],[[0.96679071]],[[1.20558074]],[[1.02536428]],[[1.16826596]],[[1.12459468]]
['TYROBP'],[[0.94834601]],[[1.10689393]],[[1.09882012]],[[1.18127076]],[[1.43623128]],[[1.34911962]],[[1.76369709]],[[1.35559472]],[[1.03981422]],[[1.32057173]],[[0.82206902]],[[1.03461922]],[[0.82803389]]
['SEMA3B'],[[1.71167922]],[[1.81814324]],[[1.80041634]],[[1.94190244]],[[1.19954579]],[[1.41958134]],[[1.68786492]],[[1.46494628]],[[1.2059509]],[[0.97024126]],[[0.57576877]],[[1.33898916]],[[1.16032281]]
['EXTL3'],[[1.17393233]],[[1.29577065]],[[1.33544619]],[[1.48484057]],[[1.93430909]],[[1.36760928]],[[1.50677374]],[[1.38411591]],[[1.07350629]],[[1.66601311]],[[1.04980024]],[[1.24311586]],[[1.19339071]]
['WAS'],[[1.06728036]],[[1.18847191]],[[1.17744961]],[[1.30032876]],[[1.63889241]],[[1.37282932]],[[1.61888239]],[[1.36583031]],[[1.05595845]],[[1.37812774]],[[0.96648478]],[[1.16256126]],[[1.04923849]]
['RTFDC1'],[[0.96110516]],[[1.19141099]],[[1.11928975]],[[1.20222688]],[[1.74033955]],[[1.28220234]],[[1.36125489]],[[1.27205998]],[[0.98131985]],[[1.27486868]],[[0.93125282]],[[1.02835575]],[[0.97326867]]
['RRAGD'],[[1.31323842]],[[1.70655312]],[[1.65166562]],[[1.80441045]],[[2.09980459]],[[1.58548947]],[[1.88419003]],[[1.74009539]],[[1.46161833]],[[1.42396574]],[[1.19262113]],[[1.10245303]],[[1.13466016]]
['HMGB3'],[[1.01425117]],[[0.66034617]],[[0.59160947]],[[0.90234392]],[[1.82816308]],[[1.31138709]],[[1.63062141]],[[1.63005221]],[[1.25057156]],[[0.96370667]],[[0.83861434]],[[0.90902179]],[[0.87093122]]
['GRN'],[[1.12917709]],[[1.26139308]],[[1.27341178]],[[1.44860226]],[[1.54345935]],[[1.55923473]],[[1.83545873]],[[1.63528465]],[[1.23128971]],[[1.43873083]],[[0.96687817]],[[0.8902505]],[[0.88083908]]
['TIMP2'],[[1.11199479]],[[1.29194423]],[[1.32868902]],[[1.42201422]],[[1.80473764]],[[1.66619507]],[[1.89755242]],[[1.58002478]],[[1.16346145]],[[1.33548332]],[[0.94174538]],[[1.0804407]],[[0.94076296]]
['CAPG'],[[1.06424842]],[[1.22198839]],[[1.19576595]],[[1.34675124]],[[1.44194951]],[[1.58387632]],[[1.7248009]],[[1.39399078]],[[1.03299034]],[[1.05854057]],[[0.78585778]],[[0.85840254]],[[0.71061458]]
