N,Train_MSE,Train_r,Test_MSE,Test_r,Avg_Topological_Entropy,Random seed
2,0.1720444522664447,0.7599362404106735,0.1788547999665163,0.7478956857507797,0.0481688753708751,46
3,0.1708259892050858,0.7619015532062796,0.1764849222508395,0.7517843451192256,0.053214746381615,46
4,0.1655228942144637,0.770401070780194,0.1724415118057805,0.7584561885740109,0.0565520059056201,46
5,0.1571037500921223,0.7837043517072088,0.1631740969622243,0.7732452095624274,0.058327446519078,46
6,0.1587697091470299,0.7810898537362347,0.1650956556546837,0.7701872570005229,0.0572958609865439,46
7,0.150931055294108,0.793316458531655,0.1578382413455854,0.7817152918068866,0.0576381212696747,46
8,0.1523367222303494,0.791137796309878,0.1578720543086517,0.7816881469886605,0.0588228475603193,46
9,0.1480423750704711,0.7977749321525627,0.1540705999726196,0.7876330959539057,0.0612116572031507,46
10,0.1436754380137173,0.8044681436067214,0.1514454280627303,0.791705797025347,0.0620015791710282,46
20,0.1223742893583612,0.836348782251333,0.1301270057019768,0.8242187171889626,0.0628497239781576,46
30,0.1080251024202299,0.8571564908936831,0.1158474413751868,0.84530587671764,0.0669339745902265,46
40,0.1019989614257832,0.865745891858533,0.1111930906740134,0.8521420586753014,0.0676822365735331,46
50,0.0901410460675178,0.882403559333544,0.0991826127641213,0.8692749445116281,0.0677213497278042,46
60,0.0886430882032004,0.8844855247379817,0.099801581408092,0.8684173715745689,0.0697993103420025,46
70,0.0858619208756399,0.8883380555397001,0.0971713676539029,0.8721239585202234,0.0703355013840675,46
80,0.0800249365185612,0.8963697213132724,0.0913284814446496,0.880349021211657,0.0712093143893804,46
90,0.0765080184303072,0.9011744308099454,0.0897376885840267,0.8826233097805782,0.070134130112462,46
100,0.0761197969729107,0.90170323912142,0.0905170952248646,0.8815159873786078,0.0711104396469295,46
150,0.0679744680828715,0.9127275756755796,0.0874623346167438,0.885997676917728,0.0732507996442454,46
200,0.062458269174053,0.9201184921036412,0.0850754746251548,0.8894005216107671,0.074051450405808,46
250,0.0587775451967296,0.925017286959041,0.0856406530109092,0.8887727015670208,0.0746752190305381,46
300,0.0553079767654386,0.9296114119132154,0.0898048671129256,0.8835207626033778,0.0753045582788315,46
2,0.1737057348642991,0.7574187674229063,0.1736145083711784,0.7557304168845249,0.0474596948626357,2
3,0.1685400940879808,0.7657421646079796,0.1687012724604426,0.7637419978344046,0.052251461201476,2
4,0.1627490531234675,0.7749669023112782,0.1625876754037988,0.773534308272982,0.0572048101550203,2
5,0.1573197361878038,0.7835167965934148,0.1583584982419338,0.7802669578561403,0.0560560052117808,2
6,0.159111732148503,0.7807050056139248,0.1594010228419054,0.7786025223384068,0.0606634846925558,2
7,0.1573818450262461,0.7834193818729464,0.1571785237628475,0.7821065723420315,0.0620819223143286,2
8,0.1499926734615227,0.7949093685473956,0.1487704578930917,0.7952851114844276,0.0616664574756112,2
9,0.1497267995907835,0.7953196228172861,0.1502857087244107,0.7929440615792978,0.0606081986446176,2
10,0.1482572236179473,0.7975838354667242,0.1491421435729886,0.7946895880607179,0.0590301226694071,2
20,0.1245012406304329,0.8333325179077362,0.1264276951577846,0.8292911692769858,0.0648043453846554,2
30,0.1101550598084248,0.8541967695919996,0.1147693587651726,0.8465157971398398,0.0678707113784777,2
40,0.1000570408466537,0.868582282081816,0.1047711753867565,0.8610325547043014,0.0679455729332784,2
50,0.0943984202022508,0.8765402672268012,0.0997249609243732,0.8681582623298649,0.0675656618860797,2
60,0.0892858253082695,0.883668721795363,0.0971510869029406,0.8718736193748117,0.0694739022935543,2
70,0.0829634703149897,0.8924051969883331,0.0905281678400106,0.8811724597022397,0.0709591784179135,2
80,0.0801461370522938,0.8962708702147457,0.0893029079363477,0.8829630826877364,0.0714578918664522,2
90,0.0780456197367997,0.8991421822962808,0.0878332054466488,0.8850424190880161,0.0715226623358495,2
100,0.0752388731617496,0.9029646269498292,0.0861226361191229,0.8874390289196737,0.0718359772040986,2
150,0.0681160080679399,0.9125932258073044,0.0832637341044938,0.8915943181719352,0.0734078098514402,2
200,0.0634504771527423,0.918845345080656,0.0848165996769503,0.8896143791048434,0.0738400935654965,2
250,0.0589164084947849,0.924880802101002,0.0845818782127404,0.8902308472796976,0.0750380253758902,2
300,0.0555535437621003,0.9293319125014118,0.0878990676039826,0.886103469667051,0.0754432914091551,2
2,0.1741665291525701,0.756422289899288,0.1747071542245355,0.7549088085284763,0.0483945984924319,10
3,0.1680612915399022,0.7662718576728023,0.1680520032483374,0.7656869300491678,0.0521111807896363,10
4,0.1616791648589599,0.7764336778680206,0.1622179733881507,0.775003149300629,0.0551603134062459,10
5,0.1604789280848903,0.778329551026216,0.161246757069617,0.7765517297165815,0.0575251081953691,10
6,0.1581968193620907,0.7819224993384603,0.1586394215304946,0.7806683320504433,0.0587951114305683,10
7,0.1521123532717959,0.7914219630176935,0.1525328539058741,0.7902371571674427,0.0590515421459717,10
8,0.1496666269264594,0.7952083909072438,0.1498422620599989,0.7944197853879712,0.058113750993898,10
9,0.149815830749142,0.7949779684463716,0.1510258792550343,0.7926049016396721,0.0614711727135164,10
10,0.1439812566769767,0.8039416846105027,0.1437573482823934,0.8038180688774784,0.0588877511877073,10
20,0.1241314834323393,0.833715385523826,0.1252315071980529,0.8316830534806159,0.0646997990856693,10
30,0.1092928250082893,0.8552960291328761,0.1130397565131548,0.8495878160478629,0.0651224072076783,10
40,0.1011599098968201,0.8668962490500565,0.1051980230271438,0.8608775625620206,0.0680742156795933,10
50,0.0938048264648207,0.8772549552316484,0.0990546413260106,0.8696873606258386,0.0694772203880213,10
60,0.0879529918564821,0.8854099612855402,0.0948566006399833,0.8755808119020587,0.0692302450812707,10
70,0.0842484001089381,0.8905340096338529,0.0911424490039848,0.8807407825550191,0.0693449579374775,10
80,0.0813353008828111,0.8945426786838092,0.0883435909064749,0.8847030855368745,0.0698353129903879,10
90,0.0777913261862848,0.8993953985108372,0.0866452954199253,0.8870596995265474,0.0710573504939471,10
100,0.0779386354896497,0.8991942108331454,0.0887682300246071,0.8841561345003005,0.0708149417693932,10
150,0.068260029338262,0.9123184291776872,0.0829932288376696,0.8923496721606378,0.0731829998243946,10
200,0.0635467373317698,0.9186417834405698,0.0832474550467287,0.892135270742944,0.0740785969319571,10
250,0.0592836130035338,0.9243239346681424,0.0847675149691139,0.8903242018242588,0.075060558842345,10
300,0.0558750369539117,0.92884208545465,0.0851881494876937,0.8900363682705873,0.0753112652640565,10
2,0.1735427912365917,0.7584650794879111,0.1722635264224915,0.7547735119358518,0.0487733314922548,100
3,0.1687635333935666,0.7661378341886853,0.1681497906836958,0.7615929904514215,0.0524015112403218,100
4,0.1643173991072967,0.7732062933510881,0.1626449521856737,0.7705143862062294,0.0556087975208039,100
5,0.1639045347008249,0.7738592337531986,0.164473260627687,0.7676420141355275,0.0558370860223053,100
6,0.1574718258953035,0.7839654606438926,0.1570599566639697,0.7795260136172295,0.0596763879189865,100
7,0.1597117457240394,0.7804612674954321,0.160447127543138,0.7741349543781322,0.0592815701971163,100
8,0.1518773268546717,0.7926496998821593,0.1539948059098051,0.7844644911974277,0.060398954784539,100
9,0.1460199838616085,0.8016415317305509,0.1474575745135756,0.7948676475515508,0.0625135011726533,100
10,0.1466287769119021,0.8007115333543273,0.1468916612837932,0.7956532903423944,0.0591909822379547,100
20,0.1238628889014714,0.8347792845535587,0.1247226312595074,0.8297154490486713,0.0656574998073378,100
30,0.1097884088940704,0.8551622756525812,0.1135316034691814,0.8464512223558776,0.0659007864394673,100
40,0.098518984679743,0.8711391661120758,0.1036249571266067,0.8609450539215038,0.0671956382311299,100
50,0.0935774789002407,0.878053143614252,0.0993194110450865,0.8672152536251426,0.0682490264192901,100
60,0.0875650651822321,0.8863927884426319,0.094310349184331,0.8743773220408391,0.0688193294471002,100
70,0.0831970571597217,0.8924026520380922,0.0913790226441445,0.8785696770864022,0.0702863108686,100
80,0.0814638181333552,0.8947761993879598,0.0894925294905018,0.8813149246753216,0.0708276731710657,100
